,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
ALBT,-,-,-,-,-,-1.31,-,-741.50%,-129.30%,-18.80%,33.20%,-,-12.60M,-61.61%,-60.00%,-,-,1.20M
TRDA,2.04,-,-,-,0.00,-2.54,-,-34.20%,-,70.30%,1.40%,-3.48,-79.60M,119.39%,7.10%,-,-,25.30M
PTLO,3.64,89.92,47.78,9.88,1.06,0.24,-,4.30%,6.90%,-313.20%,0.80%,0.45,10.10M,19.92%,30.58%,1.70%,0.00%,608.70M
SGHT,2.65,-,-,-,0.23,-1.67,-,-47.70%,-43.40%,27.90%,3.10%,-0.93,-80.00M,-16.16%,-34.56%,-,-,75.30M
CCBG,1.37,12.31,9.36,2.05,0.13,2.74,2.13%,11.80%,25.10%,75.80%,1.40%,3.61,46.60M,25.09%,3.85%,31.10%,24.70%,149.80M
ARDS,-,-,1.01,-,-,-1.65,-,112.10%,126.60%,49.80%,31.53%,0.26,-30.40M,-75.29%,-77.81%,-,-,3.10M
MBINO,,,,,,,,,,,,,,,,,,
AEY,0.85,-,-,-,0.18,-0.07,-,-8.10%,10.60%,-94.10%,38.84%,-,-0.90M,-55.38%,-57.23%,-1.00%,0.00%,88.00M
HNNA,0.65,11.39,-,-,0.45,0.66,7.35%,5.80%,6.50%,-26.00%,41.40%,-,5.00M,-27.73%,-10.95%,19.60%,83.00%,25.40M
PTRS,,,,,,,,,,,,,,,,,,
WSBF,0.88,20.56,12.99,-,0.00,0.75,5.17%,4.40%,13.80%,-54.70%,27.57%,1.19,16.40M,-9.64%,-10.32%,21.20%,105.80%,77.10M
MATH,,,,,,,,,,,,,,,,,,
CSIQ,1.24,8.77,6.45,0.73,2.18,4.48,-,16.60%,4.80%,723.90%,31.00%,6.10,314.50M,10.39%,27.22%,4.00%,0.00%,7.92B
FCVT,-,-,-,-,-,-,1.96%,-,-,-,-,-,-,-6.52%,0.85%,-,-,-
SOBR,3.96,-,-,-,0.38,-1.46,-,-228.70%,-,76.60%,2.30%,-0.62,-17.90M,97.83%,91.60%,-,-,0.08M
VC,5.77,30.90,15.13,0.94,0.49,4.77,-,21.90%,13.80%,52.90%,0.80%,9.73,136.00M,28.85%,12.58%,3.50%,0.00%,3.90B
BFST,0.78,6.78,7.57,-,0.81,2.43,2.91%,12.10%,27.90%,31.40%,3.70%,2.18,57.80M,-26.16%,-25.56%,21.30%,19.60%,271.50M
CRDO,6.68,-,44.57,-,0.00,-0.11,-,-2.60%,-6.60%,-,10.60%,0.36,-16.50M,26.30%,20.89%,-4.80%,-,184.20M
VWE,0.31,-,-,-,1.41,-2.73,-,-56.00%,-1.30%,-211.00%,11.00%,-0.20,-161.50M,-87.95%,-65.34%,-53.80%,-,300.20M
HWBK,0.98,7.26,-,-,0.39,2.57,3.64%,14.10%,31.30%,-49.80%,14.32%,-,17.40M,-25.85%,-14.24%,23.30%,25.40%,74.80M
CHCO,2.23,13.90,13.98,1.74,0.00,7.04,2.66%,-,26.70%,15.30%,1.30%,7.00,104.10M,19.14%,5.13%,-,36.79%,211.70M
FTIIU,,,,,,,,,,,,,,,,,,
BKNG,92.62,25.93,16.18,1.02,11.29,101.99,-,139.60%,27.70%,140.90%,0.20%,163.44,4.02B,12.65%,31.21%,22.10%,0.00%,18.17B
CHSCM,-,-,-,-,-,-,6.69%,-,-,33.50%,-,-,-,-0.91%,4.99%,-,0.00%,50.65B
NCRA,,,,,,,,,,,,,,,,,,
UNAM,0.34,-,-,-,0.00,-2.94,-,-62.70%,-33.80%,-258.70%,54.37%,-,-15.60M,-61.74%,-29.54%,-,-,11.78M
BCBP,0.77,5.04,5.19,0.50,0.14,2.49,5.11%,-,32.30%,-17.40%,2.60%,2.41,43.00M,-36.10%,-30.35%,-,23.18%,146.10M
RNXT,5.50,-,-,-,0.00,-1.12,-,-146.50%,-,-7.30%,0.30%,-0.80,-10.10M,7.06%,-15.74%,-,-,-
MPWR,13.15,51.22,35.81,2.05,0.00,9.66,0.81%,29.30%,26.30%,36.90%,3.90%,13.81,467.90M,6.11%,39.87%,25.10%,30.10%,1.87B
BPYPO,,,,,,,,,,,,,,,,,,
LGST,,,,,,,,,,,,,,,,,,
VBTX,0.75,7.49,6.99,1.07,0.15,2.77,3.86%,10.50%,19.30%,8.40%,2.30%,2.96,151.30M,-40.20%,-26.25%,28.10%,28.60%,538.70M
ACT,0.99,5.97,7.57,30.16,0.17,4.38,2.45%,17.20%,15.60%,6.80%,81.60%,3.45,715.50M,10.30%,8.46%,64.70%,12.70%,1.11B
ISHG,-,-,-,-,-,-,1.47%,-,-,-,-,-,-,-3.94%,-1.26%,-,-,-
LFCR,3.34,-,208.50,-,1.98,-3.11,-,-,-22.70%,-160.90%,0.20%,0.04,-92.30M,-17.99%,28.70%,-,-,157.40M
PDP,-,-,-,-,-,-,0.58%,-,-,-,-,-,-,-2.10%,7.67%,-,-,-
SZZL,,,,,,,,,,,,,,,,,,
TCBS,,,,,,,,,,,,,,,,,,
FSTR,1.10,-,16.12,-,0.59,-4.29,-,-29.30%,-19.90%,-36.10%,1.30%,0.86,-46.20M,5.29%,44.01%,-9.00%,-,514.20M
PHIO,0.49,-,-,-,0.00,-10.92,-,-102.20%,-,-34.90%,0.90%,-,-12.40M,-65.23%,-29.21%,-,-,-
HBT,1.35,11.04,8.76,-,0.20,1.78,3.46%,13.40%,28.10%,-36.60%,0.10%,2.25,52.00M,10.57%,0.46%,30.30%,36.50%,171.50M
BWAQU,,,,,,,,,,,,,,,,,,
CEAD,0.41,-,-,-,0.00,-0.57,-,-28.70%,-39.70%,87.00%,12.28%,-,-4.50M,-34.38%,-10.18%,-31.70%,-,14.20M
DNUT,2.16,-,35.25,-,0.68,-0.12,0.91%,-1.70%,1.40%,-108.40%,2.80%,0.44,-19.90M,8.12%,49.61%,-1.30%,-,1.58B
SDA,3.42,65.88,-,-,0.14,0.21,-,4.10%,-,56.40%,-,-,1.40M,40.97%,34.30%,-,0.00%,-
NAAS,22.66,-,-,-,1.15,-4.12,-,-,-262.10%,74.90%,-,-,-794.70M,-4.61%,86.38%,-,-,13.10M
CMRA,-,-,-,-,-,-1.00,-,431.90%,299.00%,10.60%,8.50%,-,-18.10M,-72.44%,-65.04%,-,-,0.90M
HRTX,-,-,-,-,-,-1.37,-,-,-107.20%,56.10%,0.20%,-0.50,-150.90M,-58.39%,-54.40%,-,-,113.80M
VCXAU,-,-,-,-,-,-,-,-,-,-,-,-,-,0.89%,3.34%,-,-,-
SOUN,-,-,-,-,-,-0.62,-,691.10%,-,-0.50%,3.10%,-0.20,-116.60M,-36.34%,47.46%,-,-,33.50M
TIGO,0.80,65.88,10.46,-,2.17,0.26,-,4.40%,6.10%,-93.70%,36.00%,1.62,38.00M,-1.63%,34.05%,2.80%,0.00%,5.58B
PSCI,-,-,-,-,-,-,0.79%,-,-,-,-,-,-,11.29%,15.03%,-,-,-
ATHA,0.64,-,-,-,0.00,-2.71,-,-41.40%,-,-31.40%,1.10%,-3.48,-102.50M,-60.02%,13.25%,-,-,-
IBTE,-,-,-,-,-,-,3.29%,-,-,-,-,-,-,-3.02%,-0.34%,-,-,-
MDWD,2.42,-,-,-,0.02,-3.42,-,-180.60%,-69.00%,49.60%,24.24%,-1.82,-19.70M,-26.66%,-28.84%,-76.10%,-,25.90M
ROCC,1.41,2.87,3.04,0.10,0.00,13.81,0.76%,61.10%,61.90%,660.10%,0.64%,13.04,279.70M,-18.37%,-2.08%,24.40%,2.10%,1.15B
MDXG,-,-,86.27,-,-,-0.28,-,181.70%,-82.30%,46.10%,0.90%,0.07,-31.40M,50.52%,107.91%,-11.20%,-,280.60M
UITB,-,-,-,-,-,-,2.66%,-,-,-,-,-,-,-3.66%,1.16%,-,-,-
SILO,0.74,-,-,-,0.00,-1.63,-,-42.60%,-,6.10%,5.10%,-,-4.20M,-69.38%,-33.93%,-,-,0.07M
RMBI,0.88,9.59,-,-,0.01,1.18,4.94%,9.60%,28.60%,2.90%,0.40%,-,12.90M,-24.21%,-12.90%,23.30%,36.50%,55.10M
MCACU,,,,,,,,,,,,,,,,,,
MBTC,,,,,,,,,,,,,,,,,,
GNPX,2.52,-,-,-,0.00,-0.56,-,-108.20%,-,-67.70%,0.40%,-0.41,-27.20M,-36.08%,-35.64%,-,-,-
RGCO,2.08,-,17.97,-,1.37,-0.13,3.76%,-1.20%,-12.50%,122.20%,5.20%,1.17,-1.20M,0.19%,-4.63%,-1.20%,-,102.70M
WULF,1.39,-,-,-,1.14,-0.33,-,-,-,28.80%,11.60%,-0.19,-105.30M,-51.69%,114.84%,-,-,26.35M
WVE,-,-,-,-,-,-1.77,-,-,362.30%,57.00%,25.16%,-1.32,-151.40M,119.68%,-41.00%,-,-,14.80M
APLS,25.45,-,-,-,1.08,-6.28,-,-225.90%,-103.40%,-10.20%,1.50%,-3.03,-691.00M,113.51%,78.17%,-,-,105.90M
BSJR,-,-,-,-,-,-,6.00%,-,-,-,-,-,-,-5.02%,0.82%,-,-,-
PLTN,1.35,181.05,-,-,0.00,0.06,-,1.50%,-,-,22.68%,-,0.40M,-,2.58%,-,0.00%,-
IBTK,,,,,,,,,,,,,,,,,,
TSLS,-,-,-,-,-,-,1.43%,-,-,-,-,-,-,-,-52.27%,-,-,-
WNW,0.48,-,-,-,0.30,-0.25,-,-56.70%,-40.70%,-258.40%,33.20%,-,-11.10M,-66.34%,3.09%,-,-,11.00M
LIBYU,,,,,,,,,,,,,,,,,,
NOVV,,,,,,,,,,,,,,,,,,
GOOD,2.71,-,-,-,3.96,-0.10,9.37%,-2.00%,3.30%,-314.80%,1.43%,-0.18,-4.10M,-35.76%,-30.76%,-2.70%,-,150.00M
CHSN,15.27,-,-,-,0.33,-0.14,-,-54.30%,-90.50%,-981.00%,47.44%,-,-1.30M,-,-18.37%,-9.70%,-,13.30M
POWL,2.45,27.67,24.78,2.77,0.00,2.27,1.67%,9.20%,3.70%,776.30%,1.80%,2.54,27.40M,120.26%,78.94%,4.60%,45.00%,596.50M
ACWI,-,-,-,-,-,-,1.72%,-,-,-,-,-,-,0.83%,9.38%,-,-,-
WIZ,-,-,-,-,-,-,4.35%,-,-,-,-,-,-,-13.78%,1.71%,-,-,-
ALAR,0.58,-,-,-,-,-2.54,-,-,-,-,5.11%,-0.01,-,-51.78%,-1.15%,-,-,18.78M
VGLT,-,-,-,-,-,-,3.00%,-,-,-,-,-,-,-10.43%,1.31%,-,-,-
HTIA,,,,,,,,,,,,,,,,,,
PNFP,0.78,7.74,8.12,0.24,0.08,7.27,1.56%,10.60%,16.10%,6.40%,2.21%,6.93,553.70M,-29.63%,-23.30%,34.20%,12.00%,1.62B
MARXU,,,,,,,,,,,,,,,,,,
BSCO,-,-,-,-,-,-,2.61%,-,-,-,-,-,-,-1.72%,0.37%,-,-,-
UNB,1.70,7.88,-,-,0.27,2.90,6.30%,23.30%,51.50%,19.60%,0.10%,-,13.10M,-19.78%,-4.75%,27.70%,48.40%,47.30M
LGO,0.75,-,20.00,-,0.25,-0.02,-,-0.30%,-1.10%,32.30%,0.47%,0.21,-1.10M,-51.99%,-21.56%,-0.30%,-,328.20M
VERV,2.14,-,-,-,0.00,-3.14,-,-37.60%,-30.10%,-35.40%,1.00%,-3.86,-179.20M,30.43%,-8.73%,-,-,3.30M
NBTB,1.30,10.84,10.94,2.17,0.19,3.40,3.26%,12.40%,21.90%,-13.50%,0.40%,3.37,146.50M,-1.92%,-15.20%,35.40%,34.50%,414.10M
NCSM,0.54,-,7.30,-,0.11,-5.96,-,-17.00%,-2.60%,-860.10%,2.10%,2.33,-14.50M,-63.60%,-32.00%,-9.10%,-,160.10M
DOMO,-,-,795.00,-,-,-2.81,-,84.20%,238.20%,43.60%,3.30%,0.02,-97.10M,-55.63%,0.49%,-37.90%,-,313.60M
VCYT,1.77,-,-,-,0.00,-0.42,-,-2.80%,-3.80%,44.80%,0.70%,-0.40,-30.20M,52.30%,11.42%,-9.70%,-,311.20M
XPAXU,,,,,,,,,,,,,,,,,,
TATT,0.81,-,-,-,0.36,-0.18,-,-2.10%,-1.80%,177.30%,53.70%,-,-1.60M,20.24%,28.87%,-1.80%,-,84.60M
BFIT,-,-,-,-,-,-,0.88%,-,-,-,-,-,-,1.61%,5.54%,-,-,-
NTZG,,,,,,,,,,,,,,,,,,
EMLD,,,,,,,,,,,,,,,,,,
DUET,,,,,,,,,,,,,,,,,,
NVOS,0.72,-,-,-,0.03,-1.13,-,-,-75.80%,-,12.92%,-,-32.80M,-92.91%,-29.89%,-,-,11.70M
PFIS,0.95,8.71,9.69,-,0.10,5.00,3.77%,11.50%,25.50%,-21.10%,1.20%,4.49,36.00M,-17.09%,-16.03%,29.80%,31.80%,121.00M
JUPW,1.45,-,-,-,0.34,-0.62,-,-189.50%,-244.60%,59.40%,23.30%,-,-13.60M,-56.28%,-56.76%,-,-,6.60M
BRLIU,,,,,,,,,,,,,,,,,,
CLAYU,,,,,,,,,,,,,,,,,,
PETV,25.37,-,-,-,0.00,-0.82,-,-240.40%,-83.70%,-36.00%,13.40%,-,-8.20M,-6.45%,3.58%,-,-,0.80M
DHC,0.21,-,-,-,1.08,-1.30,1.72%,-11.50%,-2.20%,-121.90%,0.10%,-0.83,-308.90M,13.17%,258.69%,-23.40%,-,1.32B
VRCA,3.66,-,-,-,0.00,-0.67,-,-54.50%,-56.80%,50.20%,35.10%,-0.79,-22.60M,141.48%,101.09%,-,-,8.60M
OCTO,0.19,-,-,-,2.39,-118.65,-,-,-37.70%,-736.90%,3.60%,-,-96.10M,-,-81.12%,-,-,44.00M
ITRN,3.24,12.46,9.64,0.80,0.06,1.95,2.47%,27.60%,29.20%,31.50%,28.50%,2.52,39.70M,-1.02%,15.00%,13.20%,22.00%,300.50M
CCSO,-,-,-,-,-,-,0.22%,-,-,-,-,-,-,-,7.87%,-,-,-
VONV,-,-,-,-,-,-,2.66%,-,-,-,-,-,-,-2.90%,1.70%,-,-,-
FGM,-,-,-,-,-,-,5.05%,-,-,-,-,-,-,-9.50%,7.79%,-,-,-
JOAN,-,-,-,-,-,-4.93,37.93%,-500.20%,-14.30%,-789.20%,0.60%,-0.60,-200.60M,-82.32%,-59.30%,-9.00%,-,2.22B
CAMT,3.42,19.04,16.73,3.02,0.48,1.63,-,21.20%,12.60%,-6.70%,62.70%,1.86,78.80M,6.73%,41.48%,24.90%,0.00%,316.20M
CLFD,2.24,11.78,26.21,-,0.04,3.81,-,24.60%,28.90%,2.20%,5.50%,1.71,54.40M,-33.17%,-52.27%,16.80%,0.00%,324.00M
