,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
AURCU,,,,,,,,,,,,,,,,,,
ALOR,,,,,,,,,,,,,,,,,,
RFEU,,,,,,,,,,,,,,,,,,
VMAR,4.42,-,-,-,0.28,-1.70,-,-94.10%,-49.00%,-73.20%,72.75%,-,-14.50M,16.01%,8.46%,-,-,5.70M
TARK,-,-,-,-,-,-,-,-,-,-,-,-,-,-36.86%,63.76%,-,-,-
AMCX,0.60,124.95,1.87,-,3.07,0.10,-,0.80%,3.50%,-0.80%,0.20%,6.76,7.00M,-65.20%,-19.46%,0.20%,0.00%,3.10B
TCHI,,,,,,,,,,,,,,,,,,
KELYB,,,,,,,,,,,,,,,,,,
RMTI,6.16,-,-,-,0.74,-1.26,-,-84.30%,-,99.00%,5.58%,-0.32,-13.30M,179.33%,312.81%,-17.40%,-,76.40M
SASI,1.07,-,-,-,0.00,-0.79,-,-136.70%,-171.50%,22.00%,0.30%,-,-8.30M,-73.01%,-11.62%,-,-,0.70M
RILYK,,,,,,,,,,,,,,,,,,
OXLCO,,,,,,,,,,,,,,,,,,
PHAR,3.80,-,-,-,-,-0.05,-,-,-,-,-,-,-,50.00%,6.89%,-,0.00%,201.55M
FLL,2.78,-,6.87,-,5.26,-0.77,-,-26.00%,1.60%,-,5.68%,1.05,-26.30M,1.55%,-4.12%,-15.30%,-,172.00M
RWOD,,,,,,,,,,,,,,,,,,
HHR,,,,,,,,,,,,,,,,,,
MDXH,7.14,-,-,-,4.28,-2.76,-,-,-77.20%,-32.00%,0.31%,-0.97,-44.00M,-57.13%,-39.49%,-,-,37.10M
VERA,2.15,-,-,-,0.16,-3.44,-,-88.40%,-,-13.20%,1.20%,-2.68,-102.00M,-33.68%,-53.49%,-,-,-
MSEX,3.66,41.03,31.44,15.20,0.93,2.04,1.49%,9.10%,5.80%,-51.90%,0.10%,2.66,36.10M,-4.05%,6.29%,21.90%,58.90%,164.40M
CBRL,4.33,19.82,13.44,1.92,0.00,4.79,5.47%,21.20%,15.10%,-14.50%,2.80%,7.07,108.50M,-6.76%,0.27%,3.20%,108.10%,3.39B
QCRH,0.94,7.73,7.85,0.77,0.35,5.83,0.53%,13.40%,19.80%,7.60%,0.40%,5.74,102.60M,-21.26%,-9.25%,30.60%,4.10%,335.70M
ADAG,0.70,-,-,-,0.33,-1.84,-,-59.40%,-76.20%,19.20%,10.68%,-1.92,-80.00M,-51.79%,1.89%,-,-,9.30M
SDVY,-,-,-,-,-,-,2.33%,-,-,-,-,-,-,2.71%,7.68%,-,-,-
SBET,5.60,-,-,-,7.67,-4.02,-,-,-140.80%,68.80%,71.90%,-,-,-69.38%,-5.35%,-,-,8.78M
POLA,1.02,-,-,-,0.19,-0.44,-,-29.30%,-,1.90%,43.60%,-,-5.60M,-60.64%,4.65%,-33.70%,-,16.50M
DTSS,-,-,-,-,-,-0.25,-,-,-278.40%,-1.00%,63.14%,-,-6.00M,-48.22%,-41.67%,-,-,4.20M
PSCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-2.59%,2.20%,-,-,-
MFLX,,,,,,,,,,,,,,,,,,
RMBS,9.10,128.83,30.49,10.97,0.00,0.50,-,7.10%,-3.00%,104.90%,0.20%,2.10,55.20M,151.49%,78.75%,11.80%,0.00%,469.50M
ZCZZT,,,,,,,,,,,,,,,,,,
CASS,2.62,17.14,13.38,-,2.44,2.44,2.77%,16.40%,4.30%,-14.10%,1.90%,3.13,33.80M,19.83%,-8.62%,17.10%,45.80%,196.90M
BRKHU,,,,,,,,,,,,,,,,,,
KRBP,5.20,-,-,-,0.00,-73.73,-,-238.10%,-,-86.60%,6.60%,-,-38.60M,-66.56%,-48.16%,-,-,-
GLUE,1.43,-,-,-,0.00,-2.43,-,-42.10%,-,-26.40%,0.84%,-2.82,-116.60M,-13.55%,-6.96%,-,-,-
FONR,0.76,12.46,-,-,0.01,1.39,-,6.40%,10.90%,70.20%,1.50%,-,9.80M,11.18%,3.28%,10.00%,0.00%,97.70M
ASTI,-,-,-,-,-,-0.64,-,-,-167.20%,13.80%,12.50%,-,-21.50M,-98.19%,-92.94%,-,-,0.80M
IPDN,18.29,-,-,-,0.00,-0.33,-,-114.00%,-123.50%,-24.90%,0.10%,-,-2.90M,149.80%,112.08%,-36.10%,-,8.20M
ENOB,0.67,-,-,-,0.09,-2.00,-,-154.70%,-,34.40%,58.06%,-,-106.70M,-75.50%,-23.17%,-,-,-
BWB,0.91,6.43,7.96,0.43,0.28,1.71,-,15.10%,24.70%,-3.30%,16.30%,1.38,48.70M,-32.35%,-37.99%,26.90%,0.00%,181.00M
ZBRA,4.94,35.32,15.27,9.07,0.72,7.86,-,15.10%,9.40%,-24.40%,0.60%,18.18,408.00M,-17.25%,8.25%,7.10%,0.00%,5.75B
DGRE,-,-,-,-,-,-,3.96%,-,-,-,-,-,-,-6.12%,6.96%,-,-,-
WBA,1.30,-,6.68,-,0.66,-3.64,6.01%,-13.50%,4.60%,-20.20%,0.30%,4.78,-3144.00M,-26.41%,-14.53%,-2.40%,38.21%,133.29B
RAND,0.59,20.46,-,-,0.13,0.66,7.43%,2.90%,7.20%,628.60%,75.50%,-,1.70M,-21.01%,1.05%,26.20%,106.30%,6.50M
BSCP,-,-,-,-,-,-,2.79%,-,-,-,-,-,-,-2.23%,0.15%,-,-,-
NEWT,0.97,11.29,6.54,3.76,1.44,1.33,4.78%,14.00%,5.50%,-110.90%,5.30%,2.31,32.30M,-39.67%,-7.26%,38.10%,136.60%,143.10M
RTL,0.62,-,-,-,1.78,-1.24,12.13%,-10.30%,0.80%,-145.70%,0.53%,-,-164.50M,-0.40%,18.21%,-35.40%,-,465.10M
BLIN,0.58,-,-,-,0.04,-0.06,-,-3.30%,-9.00%,-122.80%,6.30%,-0.06,-0.70M,-17.91%,4.76%,-4.00%,0.00%,16.60M
GGE,0.96,-,-,-,0.00,-2.53,-,-76.00%,-46.90%,-280.60%,86.60%,-,-111.10M,61.19%,-25.00%,-,-,2.60M
HTCR,2.66,-,2.48,-,0.21,-0.19,-,-42.20%,-101.40%,203.70%,77.07%,0.60,-3.30M,39.25%,63.74%,-21.50%,-,15.30M
BLDE,0.99,-,-,-,0.00,-0.38,-,-9.40%,-19.20%,9.00%,16.20%,-0.52,-26.40M,-46.78%,3.91%,-16.00%,-,164.80M
MRAI,-,-,-,-,-,-1.45,-,-320.30%,-100.50%,-49.90%,14.90%,-0.08,-29.90M,-54.44%,-18.68%,-,-,27.80M
FWBI,1.39,-,-,-,0.15,-70.76,-,-,-,-,1.75%,-1.76,-15.00M,-97.32%,-72.92%,-,-,-
VEV,1.04,-,5.06,-,-,-0.41,-,-,-,-,9.68%,0.16,-,-48.13%,-15.71%,-,-,17.94M
WISA,0.29,-,-,-,0.06,-69.30,-,-256.90%,1203.10%,98.00%,5.50%,-5.16,-13.20M,-98.04%,-88.13%,-,-,3.30M
NZUS,,,,,,,,,,,,,,,,,,
BCTX,-,-,-,-,-,-0.58,-,-,-,-,23.70%,-1.41,-,5.31%,40.73%,-,-,-
TETEU,,,,,,,,,,,,,,,,,,
HMACU,,,,,,,,,,,,,,,,,,
AYRO,0.44,-,-,-,0.00,-0.64,-,-43.10%,-,-18.30%,1.90%,-0.57,-23.80M,-46.59%,43.74%,-,-,2.10M
IDBA,3.18,-,-,-,-,-2.26,-,-,-,-,2.97%,-0.29,-,-81.11%,-35.11%,-,-,4.34M
IAS,3.39,163.60,66.52,-,0.00,0.11,-,2.20%,2.40%,170.40%,0.20%,0.27,17.40M,53.64%,106.60%,4.10%,0.00%,425.20M
UHG,-,-,-,-,-,-3.19,-,-,38.40%,-,27.55%,-,-152.00M,11.03%,8.16%,-,0.00%,463.40M
HOPE,0.55,5.75,7.27,0.72,0.15,1.64,5.96%,9.80%,21.00%,-35.10%,4.83%,1.29,196.70M,-36.18%,-26.62%,24.30%,34.10%,809.60M
OPBK,0.75,4.30,5.85,0.43,0.00,2.10,5.33%,18.30%,34.20%,-8.30%,22.20%,1.54,32.00M,-24.67%,-19.27%,32.30%,21.90%,98.90M
ZTAQU,,,,,,,,,,,,,,,,,,
ITAQU,,,,,,,,,,,,,,,,,,
LMFA,0.20,-,-,-,0.01,-2.21,-,-52.40%,-59.90%,6.20%,0.20%,-1.49,-28.90M,-41.79%,23.37%,-,-,4.20M
TSP,0.43,-,-,-,0.01,-1.96,-,-35.70%,-30.40%,13.00%,0.90%,-2.44,-449.20M,-73.81%,37.20%,-,-,9.60M
CMAX,0.79,-,-,-,0.54,-0.99,-,-19.50%,-2.60%,-283.40%,0.20%,-0.24,-103.10M,-31.23%,4.38%,-15.50%,-,667.20M
SETM,,,,,,,,,,,,,,,,,,
ISPC,0.73,-,-,-,0.00,-1.16,-,-47.80%,-,0.40%,8.20%,-1.10,-10.30M,-52.12%,6.91%,-95.00%,-,10.80M
CNOB,0.58,5.55,6.87,0.56,0.07,2.86,4.28%,10.70%,19.50%,-20.70%,0.40%,2.31,112.80M,-42.74%,-34.32%,27.40%,21.50%,410.90M
ARQT,4.22,-,-,-,1.42,-5.69,-,-160.50%,-74.00%,-2.80%,1.40%,-3.75,-327.20M,-53.14%,-34.93%,-,-,6.50M
UMMA,,,,,,,,,,,,,,,,,,
ESPO,-,-,-,-,-,-,0.73%,-,-,-,-,-,-,2.51%,25.92%,-,-,-
SFM,3.33,14.51,12.20,1.95,0.22,2.32,-,24.00%,20.70%,-8.00%,0.50%,2.76,249.00M,23.91%,4.08%,3.80%,0.00%,6.50B
AAPU,-,-,-,-,-,-,1.21%,-,-,-,-,-,-,-,54.95%,-,-,-
HSON,1.44,15.51,6.91,2.22,0.03,1.42,-,9.80%,14.90%,-88.30%,11.70%,3.19,4.50M,-41.73%,-2.74%,2.30%,0.00%,192.10M
TCBI,0.93,8.64,13.78,1.08,0.34,6.21,-,11.60%,19.30%,2.10%,0.80%,3.90,314.20M,-3.75%,-11.03%,23.80%,0.00%,1.32B
UPTDU,,,,,,,,,,,,,,,,,,
HUDI,1.20,30.76,-,-,0.44,0.14,-,3.80%,3.10%,-56.10%,70.24%,-,1.90M,-81.00%,-12.20%,2.50%,0.00%,76.40M
RGP,1.41,9.27,12.11,1.16,0.00,1.85,3.26%,16.00%,15.90%,-64.70%,1.80%,1.42,63.10M,-7.92%,-6.42%,7.80%,29.50%,808.20M
TESS,1.12,-,88.70,-,0.96,-0.49,-,-5.70%,-1.50%,-428.00%,29.81%,0.10,-4.60M,50.34%,81.02%,-1.00%,-,451.80M
RWAYL,,,,,,,,,,,,,,,,,,
PBAX,,,,,,,,,,,,,,,,,,
CRVL,17.51,54.61,-,-,0.00,3.77,-,33.20%,32.80%,-5.30%,42.80%,-,66.40M,45.47%,41.82%,9.20%,0.00%,718.60M
QRMI,-,-,-,-,-,-,12.23%,-,-,-,-,-,-,-9.67%,5.78%,-,-,-
BSCU,,,,,,,,,,,,,,,,,,
HBCP,0.83,7.01,7.78,-,0.17,5.03,2.83%,12.40%,26.10%,163.50%,0.20%,4.54,41.00M,0.83%,-11.84%,29.40%,18.80%,139.50M
USXF,-,-,-,-,-,-,1.54%,-,-,-,-,-,-,5.63%,11.94%,-,-,-
FRPH,1.40,129.58,-,-,0.44,0.47,-,1.10%,1.10%,-16.30%,0.20%,-,4.50M,3.28%,13.31%,11.50%,0.00%,38.90M
KRT,2.11,12.26,9.80,-,0.33,1.30,-,18.10%,12.70%,34.80%,71.20%,1.63,26.00M,-9.83%,13.73%,6.30%,0.00%,413.30M
ARRY,16.41,443.92,17.97,9.98,3.57,0.05,-,-,3.80%,135.50%,0.30%,1.26,7.60M,66.84%,17.12%,-,-,1.71B
VIIAU,,,,,,,,,,,,,,,,,,
EVRG,1.45,17.80,15.01,6.67,1.30,3.35,4.10%,8.20%,5.70%,16.40%,0.20%,3.98,772.80M,-15.21%,-5.15%,13.00%,69.30%,5.93B
USCTU,,,,,,,,,,,,,,,,,,
UDMY,4.76,-,707.33,-,0.00,-1.21,-,-49.50%,-45.20%,-66.10%,2.50%,0.01,-172.80M,-21.17%,0.57%,-26.40%,-,653.30M
DMAC,2.99,-,-,-,0.00,-0.58,-,-46.90%,-,-50.30%,1.80%,-0.80,-15.40M,27.62%,93.03%,-,-,-
YY,0.40,10.61,13.47,-,0.17,2.73,7.04%,3.30%,1.30%,174.50%,1.67%,2.15,174.60M,-18.76%,-8.29%,7.40%,0.00%,2.37B
FTA,-,-,-,-,-,-,2.18%,-,-,-,-,-,-,-5.38%,0.05%,-,-,-
CNTY,1.66,39.75,7.45,1.59,4.45,0.20,-,4.50%,9.70%,-694.30%,0.10%,1.06,6.50M,-12.26%,11.95%,1.50%,0.00%,435.90M
MDLZ,3.49,25.21,20.74,2.94,0.79,2.86,2.13%,14.40%,5.10%,147.80%,0.16%,3.48,3.94B,15.60%,8.31%,12.00%,52.30%,32.90B
