,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
TREE,,,,,,,,,,,,,,,,,,
GMRE$A,,,,,,,,,,,,,,,,,,
GRVY,,,,,,,,,,,,,,,,,,
ALPA,,,,,,,,,,,,,,,,,,
ENO,,,,,,,,,,,,,,,,,,
USEP,,,,,,,,,,,,,,,,,,
PTRS,,,,,,,,,,,,,,,,,,
NVGS,,,,,,,,,,,,,,,,,,
NTNX,,,,,,,,,,,,,,,,,,
NTZ,,,,,,,,,,,,,,,,,,
USB$H,,,,,,,,,,,,,,,,,,
YNDX,,,,,,,,,,,,,,,,,,
ASGN,,,,,,,,,,,,,,,,,,
SOYB,,,,,,,,,,,,,,,,,,
FJAN,,,,,,,,,,,,,,,,,,
CEMB,,,,,,,,,,,,,,,,,,
CMRE,,,,,,,,,,,,,,,,,,
GDTC,,,,,,,,,,,,,,,,,,
EMCGU,,,,,,,,,,,,,,,,,,
FCVT,,,,,,,,,,,,,,,,,,
OTMO,,,,,,,,,,,,,,,,,,
DDM,,,,,,,,,,,,,,,,,,
ACCO,,,,,,,,,,,,,,,,,,
APCX,,,,,,,,,,,,,,,,,,
DLTR,,,,,,,,,,,,,,,,,,
APRH,,,,,,,,,,,,,,,,,,
HNST,,,,,,,,,,,,,,,,,,
CANF,,,,,,,,,,,,,,,,,,
XMVM,,,,,,,,,,,,,,,,,,
ADTN,,,,,,,,,,,,,,,,,,
DJD,,,,,,,,,,,,,,,,,,
NPFD,,,,,,,,,,,,,,,,,,
VFH,,,,,,,,,,,,,,,,,,
RNWZ,,,,,,,,,,,,,,,,,,
WH,,,,,,,,,,,,,,,,,,
FYX,,,,,,,,,,,,,,,,,,
FLMB,,,,,,,,,,,,,,,,,,
BSV,,,,,,,,,,,,,,,,,,
IYW,,,,,,,,,,,,,,,,,,
MCLD,,,,,,,,,,,,,,,,,,
BGRY,,,,,,,,,,,,,,,,,,
MNP,,,,,,,,,,,,,,,,,,
AMTB,,,,,,,,,,,,,,,,,,
NLY$F,,,,,,,,,,,,,,,,,,
DADA,,,,,,,,,,,,,,,,,,
ZAZZT,,,,,,,,,,,,,,,,,,
EMGD,,,,,,,,,,,,,,,,,,
IP,,,,,,,,,,,,,,,,,,
GRP.U,,,,,,,,,,,,,,,,,,
VTI,,,,,,,,,,,,,,,,,,
BZH,,,,,,,,,,,,,,,,,,
NHC,,,,,,,,,,,,,,,,,,
CBRGU,,,,,,,,,,,,,,,,,,
WEBS,,,,,,,,,,,,,,,,,,
WYY,,,,,,,,,,,,,,,,,,
EIG,,,,,,,,,,,,,,,,,,
ADPV,,,,,,,,,,,,,,,,,,
NTEST,,,,,,,,,,,,,,,,,,
PBD,,,,,,,,,,,,,,,,,,
GLD,,,,,,,,,,,,,,,,,,
BBHY,,,,,,,,,,,,,,,,,,
PHK,,,,,,,,,,,,,,,,,,
FEM,,,,,,,,,,,,,,,,,,
KMDA,,,,,,,,,,,,,,,,,,
UTRN,,,,,,,,,,,,,,,,,,
MMM,,,,,,,,,,,,,,,,,,
SDHY,,,,,,,,,,,,,,,,,,
PLPC,,,,,,,,,,,,,,,,,,
PAVS,,,,,,,,,,,,,,,,,,
FRTY,,,,,,,,,,,,,,,,,,
SPXX,,,,,,,,,,,,,,,,,,
FINS,,,,,,,,,,,,,,,,,,
SNPG,,,,,,,,,,,,,,,,,,
CSAN,,,,,,,,,,,,,,,,,,
PAA,,,,,,,,,,,,,,,,,,
HTIA,,,,,,,,,,,,,,,,,,
IAF,,,,,,,,,,,,,,,,,,
DIVI,,,,,,,,,,,,,,,,,,
SVM,,,,,,,,,,,,,,,,,,
MACK,,,,,,,,,,,,,,,,,,
DT,,,,,,,,,,,,,,,,,,
FMBH,,,,,,,,,,,,,,,,,,
AHT,,,,,,,,,,,,,,,,,,
CFSB,,,,,,,,,,,,,,,,,,
SACH,,,,,,,,,,,,,,,,,,
CVY,,,,,,,,,,,,,,,,,,
BKN,,,,,,,,,,,,,,,,,,
UROY,,,,,,,,,,,,,,,,,,
UTMD,,,,,,,,,,,,,,,,,,
BLRX,,,,,,,,,,,,,,,,,,
SPEU,,,,,,,,,,,,,,,,,,
BKDT,,,,,,,,,,,,,,,,,,
JBK,,,,,,,,,,,,,,,,,,
YYY,,,,,,,,,,,,,,,,,,
EDEN,,,,,,,,,,,,,,,,,,
CHK,,,,,,,,,,,,,,,,,,
TKNO,,,,,,,,,,,,,,,,,,
CRM,,,,,,,,,,,,,,,,,,
SUSB,,,,,,,,,,,,,,,,,,
DFNM,,,,,,,,,,,,,,,,,,
SAND,,,,,,,,,,,,,,,,,,
CTO,,,,,,,,,,,,,,,,,,
AGNCN,,,,,,,,,,,,,,,,,,
HT$D,,,,,,,,,,,,,,,,,,
FCUV,,,,,,,,,,,,,,,,,,
FEMB,,,,,,,,,,,,,,,,,,
NYCB$U,,,,,,,,,,,,,,,,,,
BIIB,,,,,,,,,,,,,,,,,,
TOST,,,,,,,,,,,,,,,,,,
NYF,,,,,,,,,,,,,,,,,,
RESI,,,,,,,,,,,,,,,,,,
BHFAM,,,,,,,,,,,,,,,,,,
FREQ,,,,,,,,,,,,,,,,,,
ZJYL,,,,,,,,,,,,,,,,,,
OFG,,,,,,,,,,,,,,,,,,
COOP,,,,,,,,,,,,,,,,,,
RVLV,,,,,,,,,,,,,,,,,,
MCI,,,,,,,,,,,,,,,,,,
TAN,,,,,,,,,,,,,,,,,,
SPLV,,,,,,,,,,,,,,,,,,
QCOM,,,,,,,,,,,,,,,,,,
ITOT,,,,,,,,,,,,,,,,,,
GPACU,,,,,,,,,,,,,,,,,,
OPRA,,,,,,,,,,,,,,,,,,
SCHP,,,,,,,,,,,,,,,,,,
EDIV,,,,,,,,,,,,,,,,,,
SY,,,,,,,,,,,,,,,,,,
GMF,,,,,,,,,,,,,,,,,,
PBLA,,,,,,,,,,,,,,,,,,
CLOI,,,,,,,,,,,,,,,,,,
BIBL,,,,,,,,,,,,,,,,,,
FDEU,,,,,,,,,,,,,,,,,,
NMTC,,,,,,,,,,,,,,,,,,
GSIE,,,,,,,,,,,,,,,,,,
IVRA,,,,,,,,,,,,,,,,,,
TMDV,,,,,,,,,,,,,,,,,,
BPYPO,,,,,,,,,,,,,,,,,,
TRVI,,,,,,,,,,,,,,,,,,
AURCU,,,,,,,,,,,,,,,,,,
CDE,,,,,,,,,,,,,,,,,,
APRW,,,,,,,,,,,,,,,,,,
CNCR,,,,,,,,,,,,,,,,,,
OXACU,,,,,,,,,,,,,,,,,,
FNDC,,,,,,,,,,,,,,,,,,
IDNA,,,,,,,,,,,,,,,,,,
LOGI,,,,,,,,,,,,,,,,,,
DXR,,,,,,,,,,,,,,,,,,
SCI,,,,,,,,,,,,,,,,,,
III,,,,,,,,,,,,,,,,,,
BDN,,,,,,,,,,,,,,,,,,
CRNT,,,,,,,,,,,,,,,,,,
ROMO,,,,,,,,,,,,,,,,,,
PANL,,,,,,,,,,,,,,,,,,
WILC,,,,,,,,,,,,,,,,,,
HYZD,,,,,,,,,,,,,,,,,,
BTEK,,,,,,,,,,,,,,,,,,
GSL$B,,,,,,,,,,,,,,,,,,
SEED,,,,,,,,,,,,,,,,,,
UTRE,,,,,,,,,,,,,,,,,,
BALL,,,,,,,,,,,,,,,,,,
AOK,,,,,,,,,,,,,,,,,,
GFOR,,,,,,,,,,,,,,,,,,
XTEN,,,,,,,,,,,,,,,,,,
IPOS,,,,,,,,,,,,,,,,,,
ACRX,,,,,,,,,,,,,,,,,,
W,,,,,,,,,,,,,,,,,,
FLXS,,,,,,,,,,,,,,,,,,
DIOD,,,,,,,,,,,,,,,,,,
PMT$B,,,,,,,,,,,,,,,,,,
ISZE,,,,,,,,,,,,,,,,,,
IXP,,,,,,,,,,,,,,,,,,
NL,,,,,,,,,,,,,,,,,,
NOVA,,,,,,,,,,,,,,,,,,
INBKZ,,,,,,,,,,,,,,,,,,
VMBS,,,,,,,,,,,,,,,,,,
TDC,,,,,,,,,,,,,,,,,,
UPC,,,,,,,,,,,,,,,,,,
RITM$D,,,,,,,,,,,,,,,,,,
CNXC,,,,,,,,,,,,,,,,,,
WVE,,,,,,,,,,,,,,,,,,
MJ,,,,,,,,,,,,,,,,,,
NEP,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,
NNN,,,,,,,,,,,,,,,,,,
WY,,,,,,,,,,,,,,,,,,
WTFC,,,,,,,,,,,,,,,,,,
IPG,,,,,,,,,,,,,,,,,,
HFGO,,,,,,,,,,,,,,,,,,
CLOA,,,,,,,,,,,,,,,,,,
GTN.A,,,,,,,,,,,,,,,,,,
MITT$C,,,,,,,,,,,,,,,,,,
JUNW,,,,,,,,,,,,,,,,,,
ABR$E,,,,,,,,,,,,,,,,,,
SWKS,,,,,,,,,,,,,,,,,,
RHTX,,,,,,,,,,,,,,,,,,
JETS,,,,,,,,,,,,,,,,,,
CFR,,,,,,,,,,,,,,,,,,
DXYN,,,,,,,,,,,,,,,,,,
RS,,,,,,,,,,,,,,,,,,
JPI,,,,,,,,,,,,,,,,,,
LIXT,,,,,,,,,,,,,,,,,,
CTEST.L,,,,,,,,,,,,,,,,,,
FMY,,,,,,,,,,,,,,,,,,
ONYXU,,,,,,,,,,,,,,,,,,
TGVCU,,,,,,,,,,,,,,,,,,
AU,,,,,,,,,,,,,,,,,,
GREK,,,,,,,,,,,,,,,,,,
IIM,,,,,,,,,,,,,,,,,,
INDS,,,,,,,,,,,,,,,,,,
PHGE.U,,,,,,,,,,,,,,,,,,
PESI,,,,,,,,,,,,,,,,,,
EJUL,,,,,,,,,,,,,,,,,,
DOUG,,,,,,,,,,,,,,,,,,
MFG,,,,,,,,,,,,,,,,,,
F$D,,,,,,,,,,,,,,,,,,
CCAP,,,,,,,,,,,,,,,,,,
PGZ,,,,,,,,,,,,,,,,,,
GBAB,,,,,,,,,,,,,,,,,,
INFY,,,,,,,,,,,,,,,,,,
MARPS,,,,,,,,,,,,,,,,,,
DWAC,,,,,,,,,,,,,,,,,,
RCS,,,,,,,,,,,,,,,,,,
NVDL,,,,,,,,,,,,,,,,,,
TSPA,,,,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,,,,
DUOT,,,,,,,,,,,,,,,,,,
AZ,,,,,,,,,,,,,,,,,,
CIG.C,,,,,,,,,,,,,,,,,,
LBTYA,,,,,,,,,,,,,,,,,,
SBXC.U,,,,,,,,,,,,,,,,,,
GLLIU,,,,,,,,,,,,,,,,,,
LGIH,,,,,,,,,,,,,,,,,,
KRUZ,,,,,,,,,,,,,,,,,,
FLSP,,,,,,,,,,,,,,,,,,
BIL,,,,,,,,,,,,,,,,,,
ACGL,,,,,,,,,,,,,,,,,,
SBSI,,,,,,,,,,,,,,,,,,
WRB,,,,,,,,,,,,,,,,,,
OZK,,,,,,,,,,,,,,,,,,
BOSC,,,,,,,,,,,,,,,,,,
VMC,,,,,,,,,,,,,,,,,,
GAB$K,,,,,,,,,,,,,,,,,,
TCOM,,,,,,,,,,,,,,,,,,
GEO,,,,,,,,,,,,,,,,,,
PTC,,,,,,,,,,,,,,,,,,
IAU,,,,,,,,,,,,,,,,,,
REGL,,,,,,,,,,,,,,,,,,
PML,,,,,,,,,,,,,,,,,,
TLT,,,,,,,,,,,,,,,,,,
KOKU,,,,,,,,,,,,,,,,,,
ARW,,,,,,,,,,,,,,,,,,
ISIG,,,,,,,,,,,,,,,,,,
NXL,,,,,,,,,,,,,,,,,,
ADOC,,,,,,,,,,,,,,,,,,
IGLD,,,,,,,,,,,,,,,,,,
BAC$B,,,,,,,,,,,,,,,,,,
EDTX,,,,,,,,,,,,,,,,,,
VAXX,,,,,,,,,,,,,,,,,,
ZING,,,,,,,,,,,,,,,,,,
HD,,,,,,,,,,,,,,,,,,
IVV,,,,,,,,,,,,,,,,,,
MODN,,,,,,,,,,,,,,,,,,
SEAC,,,,,,,,,,,,,,,,,,
ETNB,,,,,,,,,,,,,,,,,,
VCXA,,,,,,,,,,,,,,,,,,
HSDT,,,,,,,,,,,,,,,,,,
MBI,,,,,,,,,,,,,,,,,,
CORS.U,,,,,,,,,,,,,,,,,,
INCM,,,,,,,,,,,,,,,,,,
RCLFU,,,,,,,,,,,,,,,,,,
RDIB,,,,,,,,,,,,,,,,,,
GSUN,,,,,,,,,,,,,,,,,,
EMM,,,,,,,,,,,,,,,,,,
RGCO,,,,,,,,,,,,,,,,,,
IFED,,,,,,,,,,,,,,,,,,
KWR,,,,,,,,,,,,,,,,,,
WFRD,,,,,,,,,,,,,,,,,,
PEO,,,,,,,,,,,,,,,,,,
PULM,,,,,,,,,,,,,,,,,,
CNOB,,,,,,,,,,,,,,,,,,
FMQQ,,,,,,,,,,,,,,,,,,
ASTI,,,,,,,,,,,,,,,,,,
SJB,,,,,,,,,,,,,,,,,,
NETC,,,,,,,,,,,,,,,,,,
TMFX,,,,,,,,,,,,,,,,,,
FITE,,,,,,,,,,,,,,,,,,
NCTY,,,,,,,,,,,,,,,,,,
TCMD,,,,,,,,,,,,,,,,,,
SHYF,,,,,,,,,,,,,,,,,,
SWK,,,,,,,,,,,,,,,,,,
SNSE,,,,,,,,,,,,,,,,,,
PLRG,,,,,,,,,,,,,,,,,,
GHM,,,,,,,,,,,,,,,,,,
SPRO,,,,,,,,,,,,,,,,,,
CCEP,,,,,,,,,,,,,,,,,,
NWPX,,,,,,,,,,,,,,,,,,
RCRT,,,,,,,,,,,,,,,,,,
SKYU,,,,,,,,,,,,,,,,,,
ZBH,,,,,,,,,,,,,,,,,,
AME,,,,,,,,,,,,,,,,,,
QMAR,,,,,,,,,,,,,,,,,,
RZLT,,,,,,,,,,,,,,,,,,
ZIG,,,,,,,,,,,,,,,,,,
GECCN,,,,,,,,,,,,,,,,,,
BFS,,,,,,,,,,,,,,,,,,
AMZN,,,,,,,,,,,,,,,,,,
SOFI,,,,,,,,,,,,,,,,,,
RFACU,,,,,,,,,,,,,,,,,,
MSD,,,,,,,,,,,,,,,,,,
IBTG,,,,,,,,,,,,,,,,,,
VNMC,,,,,,,,,,,,,,,,,,
WCEO,,,,,,,,,,,,,,,,,,
EE,,,,,,,,,,,,,,,,,,
SLGG,,,,,,,,,,,,,,,,,,
JFBR,,,,,,,,,,,,,,,,,,
HFFG,,,,,,,,,,,,,,,,,,
CENTA,,,,,,,,,,,,,,,,,,
CAFG,,,,,,,,,,,,,,,,,,
GRF,,,,,,,,,,,,,,,,,,
SHOP,,,,,,,,,,,,,,,,,,
CEG,,,,,,,,,,,,,,,,,,
AOMR,,,,,,,,,,,,,,,,,,
IMTB,,,,,,,,,,,,,,,,,,
UEC,,,,,,,,,,,,,,,,,,
OIA,,,,,,,,,,,,,,,,,,
ARIZU,,,,,,,,,,,,,,,,,,
EIM,,,,,,,,,,,,,,,,,,
MTAC,,,,,,,,,,,,,,,,,,
ORIC,,,,,,,,,,,,,,,,,,
CVV,,,,,,,,,,,,,,,,,,
FVC,,,,,,,,,,,,,,,,,,
SPC,,,,,,,,,,,,,,,,,,
FFEB,,,,,,,,,,,,,,,,,,
IMAQU,,,,,,,,,,,,,,,,,,
MDV$A,,,,,,,,,,,,,,,,,,
SYTA,,,,,,,,,,,,,,,,,,
VGM,,,,,,,,,,,,,,,,,,
ALDX,,,,,,,,,,,,,,,,,,
BIGT,,,,,,,,,,,,,,,,,,
USMF,,,,,,,,,,,,,,,,,,
FAAR,,,,,,,,,,,,,,,,,,
FTNT,,,,,,,,,,,,,,,,,,
AVSD,,,,,,,,,,,,,,,,,,
CHNR,,,,,,,,,,,,,,,,,,
FXY,,,,,,,,,,,,,,,,,,
ALPAU,,,,,,,,,,,,,,,,,,
DBB,,,,,,,,,,,,,,,,,,
CUBA,,,,,,,,,,,,,,,,,,
JMUB,,,,,,,,,,,,,,,,,,
TRKA,,,,,,,,,,,,,,,,,,
HCRB,,,,,,,,,,,,,,,,,,
BENF,,,,,,,,,,,,,,,,,,
LUX,,,,,,,,,,,,,,,,,,
FRA,,,,,,,,,,,,,,,,,,
MLCO,,,,,,,,,,,,,,,,,,
ROL,,,,,,,,,,,,,,,,,,
SCCC,,,,,,,,,,,,,,,,,,
EDOW,,,,,,,,,,,,,,,,,,
BKEM,,,,,,,,,,,,,,,,,,
HP,,,,,,,,,,,,,,,,,,
SEDA.U,,,,,,,,,,,,,,,,,,
BARK,,,,,,,,,,,,,,,,,,
LBTYK,,,,,,,,,,,,,,,,,,
AVAH,,,,,,,,,,,,,,,,,,
ISWN,,,,,,,,,,,,,,,,,,
INTF,,,,,,,,,,,,,,,,,,
BCI,,,,,,,,,,,,,,,,,,
FIXD,,,,,,,,,,,,,,,,,,
TR,,,,,,,,,,,,,,,,,,
TDSB,,,,,,,,,,,,,,,,,,
CELL,,,,,,,,,,,,,,,,,,
APG,,,,,,,,,,,,,,,,,,
EMR,,,,,,,,,,,,,,,,,,
SGH,,,,,,,,,,,,,,,,,,
KDP,,,,,,,,,,,,,,,,,,
IMOM,,,,,,,,,,,,,,,,,,
CBAY,,,,,,,,,,,,,,,,,,
CVII.U,,,,,,,,,,,,,,,,,,
CCEL,,,,,,,,,,,,,,,,,,
GNL$B,,,,,,,,,,,,,,,,,,
KEY$J,,,,,,,,,,,,,,,,,,
OOMA,,,,,,,,,,,,,,,,,,
NJR,,,,,,,,,,,,,,,,,,
SMCI,,,,,,,,,,,,,,,,,,
KURA,,,,,,,,,,,,,,,,,,
GFX,,,,,,,,,,,,,,,,,,
CLSE,,,,,,,,,,,,,,,,,,
HAS,,,,,,,,,,,,,,,,,,
GLP$B,,,,,,,,,,,,,,,,,,
HUIZ,,,,,,,,,,,,,,,,,,
GEL,,,,,,,,,,,,,,,,,,
PXF,,,,,,,,,,,,,,,,,,
WDAY,,,,,,,,,,,,,,,,,,
HQI,,,,,,,,,,,,,,,,,,
FDIG,,,,,,,,,,,,,,,,,,
DLS,,,,,,,,,,,,,,,,,,
MMS,,,,,,,,,,,,,,,,,,
CDR$B,,,,,,,,,,,,,,,,,,
EPU,,,,,,,,,,,,,,,,,,
ICUI,,,,,,,,,,,,,,,,,,
GUSA,,,,,,,,,,,,,,,,,,
HOLO,,,,,,,,,,,,,,,,,,
BHACU,,,,,,,,,,,,,,,,,,
ROCK,,,,,,,,,,,,,,,,,,
EQNR,,,,,,,,,,,,,,,,,,
EAOM,,,,,,,,,,,,,,,,,,
PFIS,,,,,,,,,,,,,,,,,,
EMBD,,,,,,,,,,,,,,,,,,
TCJH,,,,,,,,,,,,,,,,,,
PSMR,,,,,,,,,,,,,,,,,,
CELU,,,,,,,,,,,,,,,,,,
SUPL,,,,,,,,,,,,,,,,,,
IBD,,,,,,,,,,,,,,,,,,
URTY,,,,,,,,,,,,,,,,,,
SKX,,,,,,,,,,,,,,,,,,
HQY,,,,,,,,,,,,,,,,,,
VERU,,,,,,,,,,,,,,,,,,
DFSV,,,,,,,,,,,,,,,,,,
FFND,,,,,,,,,,,,,,,,,,
MLP,,,,,,,,,,,,,,,,,,
SCM,,,,,,,,,,,,,,,,,,
KOP,,,,,,,,,,,,,,,,,,
CHW,,,,,,,,,,,,,,,,,,
ATXS,,,,,,,,,,,,,,,,,,
VINP,,,,,,,,,,,,,,,,,,
HTUS,,,,,,,,,,,,,,,,,,
NLR,,,,,,,,,,,,,,,,,,
AAIC,,,,,,,,,,,,,,,,,,
RECS,,,,,,,,,,,,,,,,,,
STKS,,,,,,,,,,,,,,,,,,
FRGI,,,,,,,,,,,,,,,,,,
GHLD,,,,,,,,,,,,,,,,,,
HESM,,,,,,,,,,,,,,,,,,
ASPY,,,,,,,,,,,,,,,,,,
VCIT,,,,,,,,,,,,,,,,,,
IQSU,,,,,,,,,,,,,,,,,,
NVG,,,,,,,,,,,,,,,,,,
AEI,,,,,,,,,,,,,,,,,,
KNTE,,,,,,,,,,,,,,,,,,
CUBI,,,,,,,,,,,,,,,,,,
XMPT,,,,,,,,,,,,,,,,,,
DIVS,,,,,,,,,,,,,,,,,,
BCML,,,,,,,,,,,,,,,,,,
RILYM,,,,,,,,,,,,,,,,,,
LOCC.U,,,,,,,,,,,,,,,,,,
CMU,,,,,,,,,,,,,,,,,,
BBH,,,,,,,,,,,,,,,,,,
GGG,,,,,,,,,,,,,,,,,,
HEXO,,,,,,,,,,,,,,,,,,
AZN,,,,,,,,,,,,,,,,,,
INUV,,,,,,,,,,,,,,,,,,
ATH$B,,,,,,,,,,,,,,,,,,
BRBS,,,,,,,,,,,,,,,,,,
JWEL,,,,,,,,,,,,,,,,,,
ONEW,,,,,,,,,,,,,,,,,,
ROAD,,,,,,,,,,,,,,,,,,
HYGI,,,,,,,,,,,,,,,,,,
LIND,,,,,,,,,,,,,,,,,,
NEXI,,,,,,,,,,,,,,,,,,
BDRX,,,,,,,,,,,,,,,,,,
CNC,,,,,,,,,,,,,,,,,,
KRYS,,,,,,,,,,,,,,,,,,
CNMD,,,,,,,,,,,,,,,,,,
BC$C,,,,,,,,,,,,,,,,,,
PRIM,,,,,,,,,,,,,,,,,,
KALU,,,,,,,,,,,,,,,,,,
FLOT,,,,,,,,,,,,,,,,,,
NPK,,,,,,,,,,,,,,,,,,
ITIC,,,,,,,,,,,,,,,,,,
AHH,,,,,,,,,,,,,,,,,,
CRBN,,,,,,,,,,,,,,,,,,
MQ,,,,,,,,,,,,,,,,,,
TWOU,,,,,,,,,,,,,,,,,,
IVES,,,,,,,,,,,,,,,,,,
ESIX,,,,,,,,,,,,,,,,,,
NETC.U,,,,,,,,,,,,,,,,,,
AHT$H,,,,,,,,,,,,,,,,,,
EDV,,,,,,,,,,,,,,,,,,
NEX,,,,,,,,,,,,,,,,,,
HYDR,,,,,,,,,,,,,,,,,,
NRXP,,,,,,,,,,,,,,,,,,
IVR,,,,,,,,,,,,,,,,,,
MTB$H,,,,,,,,,,,,,,,,,,
FLCH,,,,,,,,,,,,,,,,,,
MINN,,,,,,,,,,,,,,,,,,
DUSL,,,,,,,,,,,,,,,,,,
TWLO,,,,,,,,,,,,,,,,,,
ERSX,,,,,,,,,,,,,,,,,,
BWCAU,,,,,,,,,,,,,,,,,,
FSNB,,,,,,,,,,,,,,,,,,
VIGL,,,,,,,,,,,,,,,,,,
EBTC,,,,,,,,,,,,,,,,,,
SAT,,,,,,,,,,,,,,,,,,
HAL,,,,,,,,,,,,,,,,,,
VSACU,,,,,,,,,,,,,,,,,,
FAZE,,,,,,,,,,,,,,,,,,
AROC,,,,,,,,,,,,,,,,,,
ELA,,,,,,,,,,,,,,,,,,
FUBO,,,,,,,,,,,,,,,,,,
LOMA,,,,,,,,,,,,,,,,,,
FNDE,,,,,,,,,,,,,,,,,,
ZTS,,,,,,,,,,,,,,,,,,
EWP,,,,,,,,,,,,,,,,,,
OMC,,,,,,,,,,,,,,,,,,
CERE,,,,,,,,,,,,,,,,,,
CMSA,,,,,,,,,,,,,,,,,,
TZOO,,,,,,,,,,,,,,,,,,
LEVI,,,,,,,,,,,,,,,,,,
EIPX,,,,,,,,,,,,,,,,,,
IQDF,,,,,,,,,,,,,,,,,,
TXT,,,,,,,,,,,,,,,,,,
GENC,,,,,,,,,,,,,,,,,,
SPPP,,,,,,,,,,,,,,,,,,
RUFF,,,,,,,,,,,,,,,,,,
NOPE,,,,,,,,,,,,,,,,,,
PRS,,,,,,,,,,,,,,,,,,
TRMR,,,,,,,,,,,,,,,,,,
SPPI,,,,,,,,,,,,,,,,,,
GXTG,,,,,,,,,,,,,,,,,,
QLVD,,,,,,,,,,,,,,,,,,
SILX,,,,,,,,,,,,,,,,,,
AFGD,,,,,,,,,,,,,,,,,,
NUVB,,,,,,,,,,,,,,,,,,
IQI,,,,,,,,,,,,,,,,,,
UTWY,,,,,,,,,,,,,,,,,,
HDAW,,,,,,,,,,,,,,,,,,
FXA,,,,,,,,,,,,,,,,,,
RFFC,,,,,,,,,,,,,,,,,,
YOU,,,,,,,,,,,,,,,,,,
CNSL,,,,,,,,,,,,,,,,,,
FGMCU,,,,,,,,,,,,,,,,,,
THNQ,,,,,,,,,,,,,,,,,,
BCOW,,,,,,,,,,,,,,,,,,
ESQ,,,,,,,,,,,,,,,,,,
XDJA,,,,,,,,,,,,,,,,,,
CRS,,,,,,,,,,,,,,,,,,
BCAL,,,,,,,,,,,,,,,,,,
G,,,,,,,,,,,,,,,,,,
ZOM,,,,,,,,,,,,,,,,,,
HBT,,,,,,,,,,,,,,,,,,
RTL,,,,,,,,,,,,,,,,,,
NVRO,,,,,,,,,,,,,,,,,,
HLIT,,,,,,,,,,,,,,,,,,
FLGV,,,,,,,,,,,,,,,,,,
EWMC,,,,,,,,,,,,,,,,,,
IQ,,,,,,,,,,,,,,,,,,
FXU,,,,,,,,,,,,,,,,,,
DSEY,,,,,,,,,,,,,,,,,,
PFFA,,,,,,,,,,,,,,,,,,
GTES,,,,,,,,,,,,,,,,,,
BGX,,,,,,,,,,,,,,,,,,
DHCA,,,,,,,,,,,,,,,,,,
IHDG,,,,,,,,,,,,,,,,,,
MINC,,,,,,,,,,,,,,,,,,
HMN,,,,,,,,,,,,,,,,,,
AEO,,,,,,,,,,,,,,,,,,
JWSM.U,,,,,,,,,,,,,,,,,,
CERT,,,,,,,,,,,,,,,,,,
FVAL,,,,,,,,,,,,,,,,,,
SXC,,,,,,,,,,,,,,,,,,
LINK,,,,,,,,,,,,,,,,,,
VECT,,,,,,,,,,,,,,,,,,
YEXT,,,,,,,,,,,,,,,,,,
SCMB,,,,,,,,,,,,,,,,,,
GPI,,,,,,,,,,,,,,,,,,
CISO,,,,,,,,,,,,,,,,,,
GWH,,,,,,,,,,,,,,,,,,
SDSI,,,,,,,,,,,,,,,,,,
CFIVU,,,,,,,,,,,,,,,,,,
GAINN,,,,,,,,,,,,,,,,,,
NDLS,,,,,,,,,,,,,,,,,,
SPIP,,,,,,,,,,,,,,,,,,
LUNA,,,,,,,,,,,,,,,,,,
LSXMA,,,,,,,,,,,,,,,,,,
DBJA,,,,,,,,,,,,,,,,,,
XRMI,,,,,,,,,,,,,,,,,,
OPPX,,,,,,,,,,,,,,,,,,
SMFG,,,,,,,,,,,,,,,,,,
HYMC,,,,,,,,,,,,,,,,,,
ROCL,,,,,,,,,,,,,,,,,,
GLP,,,,,,,,,,,,,,,,,,
IBTF,,,,,,,,,,,,,,,,,,
ACBA,,,,,,,,,,,,,,,,,,
BURU,,,,,,,,,,,,,,,,,,
SPOK,,,,,,,,,,,,,,,,,,
DXLG,,,,,,,,,,,,,,,,,,
VSTA,,,,,,,,,,,,,,,,,,
NVMI,,,,,,,,,,,,,,,,,,
SMAPU,,,,,,,,,,,,,,,,,,
MTRYU,,,,,,,,,,,,,,,,,,
LTHM,,,,,,,,,,,,,,,,,,
NBIX,,,,,,,,,,,,,,,,,,
DYNF,,,,,,,,,,,,,,,,,,
GFAI,,,,,,,,,,,,,,,,,,
DIAX,,,,,,,,,,,,,,,,,,
ILTB,,,,,,,,,,,,,,,,,,
MAR,,,,,,,,,,,,,,,,,,
RXRX,,,,,,,,,,,,,,,,,,
BIOL,,,,,,,,,,,,,,,,,,
KTH,,,,,,,,,,,,,,,,,,
MYI,,,,,,,,,,,,,,,,,,
WABC,,,,,,,,,,,,,,,,,,
SRCE,,,,,,,,,,,,,,,,,,
EACPU,,,,,,,,,,,,,,,,,,
BKCC,,,,,,,,,,,,,,,,,,
SPHQ,,,,,,,,,,,,,,,,,,
INDY,,,,,,,,,,,,,,,,,,
UGP,,,,,,,,,,,,,,,,,,
ERJ,,,,,,,,,,,,,,,,,,
EUSC,,,,,,,,,,,,,,,,,,
GREE,,,,,,,,,,,,,,,,,,
KEY$I,,,,,,,,,,,,,,,,,,
