,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
OMEX,-,257.86,-,-,-,0.01,-,-7.10%,-118.40%,245.70%,2.10%,-0.93,1.70M,27.02%,-6.70%,-,0.00%,1.30M
SAI,1.57,4.30,-,-,0.00,0.32,-,-,-,-,57.96%,-,-0.10M,-63.49%,-31.34%,-,-,5.40M
NCR,2.36,39.33,7.18,9.83,3.70,0.64,-,6.00%,4.80%,112.90%,0.20%,3.50,90.00M,-23.81%,5.38%,1.10%,0.00%,7.87B
PMAR,-,-,-,-,-,-,-,-,-,-,-,-,-,13.78%,9.15%,-,-,-
ENVA,1.34,8.36,5.99,-,1.90,6.25,-,17.70%,9.20%,3.50%,0.90%,8.73,205.90M,83.46%,35.17%,18.10%,0.00%,1.13B
CYBN,0.92,-,-,-,0.00,-0.29,-,-78.30%,-,43.20%,22.29%,-0.20,-51.90M,-57.16%,-9.16%,-,-,-
MIDE,,,,,,,,,,,,,,,,,,
AAIC$B,,,,,,,,,,,,,,,,,,
VERX,13.62,-,43.17,-,0.22,-0.20,-,-13.60%,-3.70%,-,2.80%,0.47,-30.10M,102.81%,44.25%,-5.90%,-,509.40M
RFV,-,-,-,-,-,-,1.82%,-,-,-,-,-,-,15.98%,10.87%,-,-,-
SKGR,1.33,51.06,-,-,0.03,0.21,-,2.00%,-,-,-,-,4.20M,-,3.73%,-,0.00%,-
CSA,,,,,,,,,,,,,,,,,,
CODA,1.88,20.21,12.93,-,0.00,0.40,-,10.30%,9.60%,15.00%,55.48%,0.62,4.50M,65.06%,19.83%,20.40%,0.00%,22.00M
RWL,-,-,-,-,-,-,1.59%,-,-,-,-,-,-,12.17%,7.36%,-,-,-
TRMK,0.88,14.82,9.85,2.12,0.12,1.51,4.10%,6.00%,27.90%,73.70%,0.30%,2.28,93.00M,-23.66%,-37.07%,14.60%,60.60%,637.00M
THS,1.72,174.33,17.22,3.58,0.84,0.30,-,-,1.30%,236.90%,0.10%,3.04,16.90M,31.50%,5.83%,-,-,3.58B
ICAD,0.95,-,-,-,0.00,-0.55,-,-38.20%,-39.60%,-6.20%,0.70%,-0.37,-13.90M,-70.50%,-35.52%,-53.00%,-,26.20M
HYD,-,-,-,-,-,-,3.96%,-,-,-,-,-,-,-2.10%,1.83%,-,-,-
JPIE,-,-,-,-,-,-,5.29%,-,-,-,-,-,-,-1.00%,0.38%,-,-,-
HAIAU,,,,,,,,,,,,,,,,,,
NVR,5.01,12.50,14.33,5.21,0.24,475.68,-,49.00%,39.90%,-14.30%,0.30%,414.90,1.64B,53.04%,29.72%,15.80%,0.00%,10.41B
FF,1.26,7.87,-,0.79,0.00,1.11,2.74%,17.30%,6.70%,270.00%,0.60%,-,48.70M,12.02%,3.75%,11.40%,21.60%,427.90M
DRMA,0.23,-,-,-,0.00,-11.50,-,-116.10%,-,57.40%,2.00%,-2.80,-9.10M,-78.84%,-72.19%,-,-,-
IRRX.U,,,,,,,,,,,,,,,,,,
UMAY,,,,,,,,,,,,,,,,,,
SCYX,-,-,2.03,-,-,-1.94,-,-,-166.80%,-317.10%,0.30%,1.35,-91.20M,40.74%,70.51%,-,-,5.50M
IWB,-,-,-,-,-,-,1.38%,-,-,-,-,-,-,16.47%,15.14%,-,-,-
MEDS,4.70,-,13.16,-,0.00,-0.33,-,-275.10%,-340.30%,72.40%,27.80%,0.03,-2.80M,-78.12%,-18.48%,-30.50%,-,10.50M
SB$C,,,,,,,,,,,,,,,,,,
INCY,3.13,43.22,13.35,2.88,0.01,1.45,-,7.60%,8.90%,-43.50%,0.40%,4.69,324.40M,-6.75%,-20.42%,9.30%,0.00%,3.47B
CDTX,3.35,-,-,-,0.00,-0.17,-,-,1034.10%,109.30%,1.20%,-0.61,-9.00M,121.20%,48.75%,-,-,83.20M
BLZE,2.54,-,-,-,0.64,-1.72,-,-77.50%,-44.90%,-23.00%,9.30%,-1.36,-56.00M,-11.06%,-23.50%,-62.90%,-,89.10M
NNVC,0.69,-,-,-,0.00,-0.59,-,-32.90%,-,5.80%,4.39%,-0.68,-6.80M,-44.78%,0.00%,-,-,-
PETZ,0.53,-,-,-,0.43,-1.67,-,-92.00%,-24.20%,45.60%,39.54%,-,-6.10M,-51.46%,-25.16%,-,-,2.40M
NVOS,0.69,-,-,-,0.03,-1.13,-,-,-75.80%,-,12.92%,-,-32.80M,-92.28%,-30.13%,-,-,11.70M
CHCT,1.70,121.47,33.61,-,0.74,0.28,5.16%,1.40%,4.00%,-254.80%,6.40%,1.03,6.60M,2.36%,-4.16%,6.50%,622.00%,101.40M
ATLO,1.07,9.80,-,-,0.00,1.93,5.72%,11.50%,32.40%,-37.20%,0.20%,-,17.30M,-17.87%,-20.75%,26.80%,56.10%,64.70M
CCAIU,,,,,,,,,,,,,,,,,,
CRSR,2.97,-,24.22,-,0.36,-0.60,-,-9.90%,-5.20%,80.80%,3.20%,0.77,-56.80M,26.33%,33.31%,-4.20%,-,1.35B
XPAX,,,,,,,,,,,,,,,,,,
XRAY,2.26,-,16.82,-,0.59,-4.83,1.46%,-26.10%,-14.50%,-128.00%,0.60%,2.28,-1038.00M,10.77%,23.02%,-26.40%,-,3.93B
