,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
SLACU,,,,,,,,,,,,,,,,,,
AVHI,,,,,,,,,,,,,,,,,,
DMAC,2.75,-,-,-,0.00,-0.58,-,-46.90%,-,-50.30%,1.80%,-0.80,-15.40M,10.25%,70.24%,-,-,-
UCBIO,,,,,,,,,,,,,,,,,,
ADER,7.09,119.55,-,-,0.21,0.09,-,3.30%,-,-206.60%,-,-,4.40M,8.57%,4.98%,-,0.00%,-
TAST,1.76,-,74.71,-,3.24,-1.49,-,-42.00%,-7.00%,-14.60%,0.10%,0.07,-75.60M,197.22%,293.38%,-4.20%,-,1.73B
CGBD,0.81,9.84,6.94,4.92,1.26,1.40,10.71%,9.10%,5.40%,-6.00%,0.20%,1.99,79.40M,-2.75%,-4.13%,36.40%,90.10%,218.10M
IRON,2.70,-,-,-,0.00,-4.82,-,-35.00%,-,65.90%,0.60%,-4.14,-54.40M,183.45%,79.56%,-,-,-
ADERU,,,,,,,,,,,,,,,,,,
BRKL,0.63,7.17,6.61,1.20,0.15,1.19,6.33%,9.10%,22.00%,-72.50%,2.70%,1.29,92.60M,-42.98%,-41.45%,23.00%,44.40%,402.60M
ONEW,0.96,3.87,4.39,-,2.26,7.29,-,27.10%,15.90%,-38.80%,4.90%,6.42,106.30M,-20.58%,-5.19%,5.70%,0.00%,1.86B
DWACU,-,-,-,-,-,-0.14,-,-,-,-,3.94%,-,-,-73.52%,-19.06%,-,-,-
AMID,,,,,,,,,,,,,,,,,,
IVCP,,,,,,,,,,,,,,,,,,
NXT,8.23,46.31,20.13,1.05,0.00,0.84,-,141.70%,-,239.40%,-,1.93,121.30M,-,24.08%,3.70%,0.00%,1.90B
GLSTU,,,,,,,,,,,,,,,,,,
SZZL,,,,,,,,,,,,,,,,,,
GNMA,-,-,-,-,-,-,2.61%,-,-,-,-,-,-,-6.08%,1.11%,-,-,-
ADES,0.22,-,-,-,0.13,-0.64,-,-9.20%,-8.60%,-95.00%,0.90%,-0.04,-13.50M,-70.59%,-38.27%,-13.90%,-,97.40M
HWEL,,,,,,,,,,,,,,,,,,
NRACU,-,28.37,-,-,-,0.37,-,-,-,21.90%,-,-,-,6.01%,3.07%,-,0.00%,-
MRUS,4.46,-,-,-,0.00,-3.29,-,-55.80%,-65.20%,-97.50%,0.10%,-4.28,-152.00M,13.76%,36.26%,-,-,43.40M
GEVO,0.54,-,-,-,0.11,-0.43,-,-16.10%,-15.30%,4.30%,2.90%,-0.28,-100.00M,-69.93%,-32.89%,-,-,5.00M
GPACU,,,,,,,,,,,,,,,,,,
JWAC,,,,,,,,,,,,,,,,,,
OTEC,4.82,-,-,-,0.07,-0.41,-,-6.50%,-,-167.90%,-,-,-3.50M,9.28%,2.85%,-,0.00%,-
KBWB,-,-,-,-,-,-,3.89%,-,-,-,-,-,-,-35.06%,-24.59%,-,-,-
GSRM,,,,,,,,,,,,,,,,,,
ENSC,7.87,5.26,-,-,0.26,0.45,-,107.10%,-,-197.80%,33.90%,-,2.90M,-98.18%,-74.22%,-,0.00%,-
PEBO,0.90,7.13,7.30,0.89,0.08,3.71,5.91%,13.20%,26.90%,12.80%,1.80%,3.62,103.80M,-8.51%,-8.99%,35.00%,40.80%,296.30M
RTL,0.54,-,-,-,1.78,-1.24,13.80%,-10.30%,0.80%,-145.70%,0.53%,-,-164.50M,-16.74%,4.22%,-35.40%,-,465.10M
GLYC,1.75,-,-,-,0.00,-0.78,-,-81.20%,-,38.70%,1.50%,-0.76,-42.40M,177.87%,-42.08%,-,-,0.07M
HYDR,-,-,-,-,-,-,-,-,-,-,-,-,-,-40.76%,-20.17%,-,-,-
NYMX,-,-,-,-,-,-0.08,-,-,-,-,45.03%,-,-6.60M,0.88%,31.05%,-,-,-
GAMB,3.84,87.83,12.70,-,0.02,0.12,-,5.10%,1.50%,43.40%,61.18%,0.80,4.50M,26.47%,10.71%,5.40%,0.00%,83.60M
ESGU,-,-,-,-,-,-,1.96%,-,-,-,-,-,-,-0.97%,8.17%,-,-,-
CHEK,0.24,-,-,-,0.00,-34.23,-,-41.00%,-,96.70%,0.15%,-1.35,-17.70M,-79.66%,-32.73%,-,-,-
AKTX,6.18,-,-,-,0.00,-0.36,-,-,-,-,16.12%,-0.17,-16.80M,-84.97%,-61.93%,-,-,-
CROX,7.30,11.57,8.80,1.16,2.36,9.88,-,84.80%,21.40%,99.80%,2.90%,12.99,616.90M,97.85%,2.44%,16.30%,0.00%,3.78B
PMCB,0.77,-,-,-,0.00,-0.27,-,-6.70%,-,-7.50%,0.30%,-,-5.60M,41.26%,7.51%,-,-,-
SRTS,0.97,7.35,10.41,-,0.00,0.38,-,13.50%,23.00%,-112.10%,8.10%,0.27,6.30M,-69.53%,-63.21%,16.70%,0.00%,37.60M
HBAN,0.94,6.88,7.75,-,0.58,1.54,5.83%,14.50%,17.80%,32.20%,0.60%,1.37,2.27B,-25.96%,-26.85%,33.30%,39.50%,6.80B
TSLQ,-,-,-,-,-,-,1.08%,-,-,-,-,-,-,-,-44.74%,-,-,-
ARBKL,,,,,,,,,,,,,,,,,,
SSSS,0.43,-,-,-,-,-4.81,212.38%,-,-,-77.40%,5.91%,-0.58,-,-57.69%,-15.26%,-,-,4.17M
HYFM,0.13,-,-,-,0.39,-6.20,-,-75.60%,-58.50%,28.50%,4.60%,-0.53,-279.00M,-87.46%,-41.99%,-94.50%,-,295.30M
AEMD,0.42,-,-,-,0.00,-0.69,-,-71.90%,-60.90%,24.30%,0.70%,-0.57,-13.30M,-78.84%,12.56%,-,-,0.01M
IMRN,0.53,-,-,-,-,-0.36,-,-,-,-,-,-,-,-25.78%,-2.58%,-,-,1.12M
FAZE,0.96,-,-,-,0.00,-2.45,-,-,-350.30%,-61.10%,3.40%,-,-173.00M,-94.54%,-70.96%,-,-,66.80M
ILPT,0.16,-,-,-,0.00,-3.76,2.17%,-30.50%,-0.20%,-276.70%,0.20%,-1.58,-245.10M,-88.50%,-46.33%,-57.40%,-,427.00M
PXMD,6.85,-,-,-,0.60,-1.63,-,-,-,-376.50%,76.80%,-,-19.90M,-,-33.99%,-,-,-
HCWB,1.64,-,-,-,0.20,-0.50,-,-45.10%,-34.40%,-145.80%,43.70%,-0.66,-17.90M,-26.21%,-20.62%,-,-,3.60M
OGI,0.25,-,-,-,0.00,-0.04,-,-2.20%,-8.30%,-82.90%,19.49%,-0.09,-11.10M,-65.82%,-50.44%,-6.70%,-,166.40M
SHOO,2.87,13.70,11.36,1.37,0.00,2.31,2.66%,21.40%,26.00%,-48.20%,1.10%,2.78,178.30M,-19.02%,-3.57%,8.80%,35.60%,2.03B
FLGT,0.92,-,-,-,0.02,-0.90,-,-2.00%,10.60%,-110.50%,7.40%,-0.93,-25.90M,-33.03%,30.39%,-7.10%,0.00%,364.90M
WAFD,0.84,6.53,7.18,0.93,0.00,4.09,3.75%,13.40%,26.70%,36.00%,1.00%,3.72,267.50M,-20.38%,-22.80%,31.30%,23.70%,853.80M
