,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
CASA,5.40,-,-,-,11.63,-0.83,-,-169.80%,-24.20%,14.20%,22.32%,-0.05,-78.30M,-75.34%,-60.26%,-29.30%,-,267.40M
NFBK,0.66,8.10,11.11,1.01,1.41,1.28,5.02%,8.40%,17.10%,-13.10%,1.70%,0.93,58.70M,-22.03%,-34.97%,31.00%,40.60%,189.40M
PTNQ,-,-,-,-,-,-,0.51%,-,-,-,-,-,-,12.69%,20.67%,-,-,-
VINC,1.12,-,-,-,0.00,-3.00,-,-117.10%,-,13.90%,15.50%,-1.27,-63.30M,8.54%,74.51%,-,-,-
MEOA,66.35,210.63,-,-,1.06,0.13,-,3.20%,-,-98.90%,-,-,2.00M,-,155.68%,-,0.00%,-
PFF,-,-,-,-,-,-,6.84%,-,-,-,-,-,-,-13.33%,-0.72%,-,-,-
SYNH,1.24,28.91,10.54,96.38,0.77,1.44,-,4.30%,5.70%,-257.90%,0.20%,3.94,148.20M,-44.58%,13.58%,2.70%,0.00%,5.41B
DSGN,1.07,-,-,-,0.00,-1.24,-,-20.70%,-,-44.40%,0.20%,-1.86,-69.30M,-53.90%,-41.86%,-,-,-
FTIIU,,,,,,,,,,,,,,,,,,
BTMD,0.75,13.59,8.18,-,0.00,0.41,-,3.80%,-,129.80%,23.70%,0.68,16.20M,-14.58%,44.50%,-,0.00%,172.66M
VTWO,-,-,-,-,-,-,1.78%,-,-,-,-,-,-,-7.85%,-0.88%,-,-,-
VACC,0.39,-,-,-,0.00,-0.42,-,-6.30%,0.20%,-806.40%,0.30%,-2.16,-15.40M,-40.75%,0.85%,-51.20%,0.00%,30.20M
GOOG,6.08,26.86,19.97,1.53,-,4.64,-,-,-,-8.40%,0.01%,6.24,-,9.72%,39.48%,-,0.00%,284.61B
RCM,2.50,-,72.26,-,0.66,-0.14,-,0.70%,10.30%,-168.80%,0.80%,0.23,-57.60M,-25.75%,45.98%,0.90%,0.00%,1.81B
RADI,2.23,-,-,-,2.47,-1.54,-,-,-3.10%,-887.60%,0.26%,-1.27,-142.70M,-4.97%,25.25%,-,-,146.10M
NCRA,,,,,,,,,,,,,,,,,,
BOOM,0.85,14.06,6.90,0.70,0.33,1.18,-,6.20%,4.00%,97.50%,0.20%,2.41,23.00M,-42.43%,-17.85%,3.30%,0.00%,699.70M
DCTH,-,-,-,-,-,-3.91,-,552.10%,-,29.50%,1.50%,-0.89,-37.30M,71.07%,116.68%,-,-,2.90M
HBIO,3.18,-,14.71,-,0.59,-0.05,-,-2.70%,-6.10%,108.70%,6.20%,0.38,-2.00M,44.80%,96.03%,-1.80%,-,114.50M
EGIO,0.37,-,-,-,0.41,-0.48,-,-36.80%,-18.40%,-142.80%,4.00%,-0.16,-83.60M,-86.59%,-56.81%,-26.40%,-,316.30M
TIPT,1.23,-,-,-,0.92,-0.24,1.48%,-,0.50%,-3.70%,37.60%,-,-8.40M,21.68%,-3.90%,-,-,1.45B
IVA,2.81,-,-,-,-,-1.33,-,-,-,-,-,-,-,-61.72%,-20.18%,-,-,18.81M
OM,4.80,-,-,-,0.00,-3.51,-,-64.70%,-47.50%,-16.00%,1.10%,-2.96,-170.00M,-8.65%,-19.66%,-,-,118.30M
ABST,-,-,-,-,-,-0.68,-,474.80%,-1.20%,40.90%,0.10%,-0.10,-35.20M,18.78%,6.61%,-11.60%,-,302.80M
ATLX,15.24,-,-,-,0.00,-1.49,-,-275.10%,-,-377.40%,5.40%,-0.90,-8.10M,361.56%,196.71%,-,-,0.01M
ICHR,1.52,13.96,20.33,0.83,0.50,2.23,-,11.30%,9.40%,-100.10%,0.10%,1.53,64.80M,-2.55%,12.64%,5.30%,0.00%,1.21B
QIWI,,,,,,,,,,,,,,,,,,
OKTA,2.64,-,75.09,-,0.40,-5.17,-,-15.00%,-10.80%,38.70%,0.20%,1.20,-815.00M,4.64%,31.79%,-43.90%,-,1.86B
IMMX,2.42,-,-,-,0.00,-0.67,-,-62.70%,-,-85.30%,13.60%,-0.72,-9.40M,-26.12%,-13.54%,-,-,-
MTLS,2.26,353.33,68.14,-,0.32,0.03,-,0.60%,-1.20%,2676.90%,3.95%,0.14,1.60M,-39.77%,5.34%,0.60%,0.00%,262.60M
KINS,0.41,-,-,-,0.76,-1.72,12.50%,-47.30%,-33.40%,45.70%,0.20%,-0.05,-18.40M,-71.78%,-5.92%,-13.30%,-,138.20M
VRTX,5.80,25.91,20.16,3.16,0.03,12.55,-,24.50%,23.60%,-9.00%,0.10%,16.13,3.26B,18.40%,12.23%,35.40%,0.00%,9.21B
DMAT,,,,,,,,,,,,,,,,,,
IRIX,2.18,-,-,-,0.00,-0.45,-,-41.00%,-44.20%,13.20%,1.50%,-0.23,-7.20M,-31.95%,5.97%,-12.60%,-,57.30M
OXUS,-,-,-,-,-,-0.01,-,-,-,-,4.00%,-,-0.30M,7.74%,3.05%,-,-,-
WIZ,-,-,-,-,-,-,4.42%,-,-,-,-,-,-,-14.69%,-0.07%,-,-,-
TSLI,,,,,,,,,,,,,,,,,,
VALU,5.40,24.92,-,-,0.00,1.88,2.39%,22.20%,7.90%,-5.70%,91.50%,-,17.80M,-30.87%,-5.50%,44.50%,51.50%,40.10M
SRRK,2.02,-,-,-,0.00,-2.59,-,-59.70%,-43.40%,-133.10%,0.20%,-2.24,-165.90M,17.17%,-36.30%,-,-,0.00M
TENB,15.43,-,50.82,-,1.25,-0.83,-,-35.00%,-11.80%,1.40%,0.40%,0.78,-92.80M,-23.92%,4.82%,-13.00%,-,712.70M
APMI,,,,,,,,,,,,,,,,,,
SMID,2.64,87.53,-,-,0.19,0.19,-,3.00%,1.80%,166.50%,4.70%,-,1.00M,16.45%,-20.24%,1.90%,0.00%,52.50M
ENZL,-,-,-,-,-,-,1.63%,-,-,-,-,-,-,-0.87%,-2.25%,-,-,-
FIACU,,,,,,,,,,,,,,,,,,
FGMC,,,,,,,,,,,,,,,,,,
NN,3.10,-,-,-,0.00,-0.45,-,-48.50%,-65.50%,-59.60%,5.30%,-0.57,-46.80M,-26.71%,-12.46%,-,-,3.60M
XTLB,2.00,-,-,-,0.00,-0.25,-,-,-,-,1.00%,-,-1.30M,-44.32%,-0.83%,-,-,-
SHY,-,-,-,-,-,-,1.98%,-,-,-,-,-,-,-2.19%,0.59%,-,-,-
TGTX,127.45,-,-,-,0.00,-1.23,-,-213.70%,-148.70%,45.50%,1.10%,-0.41,-168.60M,403.00%,119.82%,-,-,8.60M
NMTC,3.56,-,-,-,0.00,-0.58,-,-110.70%,-104.50%,-13.60%,17.59%,-0.52,-9.40M,14.37%,1.67%,-,-,4.10M
UPBD,2.51,27.39,8.80,0.90,1.98,1.11,4.46%,11.10%,5.20%,-,0.30%,3.46,63.90M,8.39%,32.33%,1.60%,116.30%,4.10B
THRM,2.72,90.49,15.86,3.62,0.34,0.62,-,3.20%,3.80%,-32.20%,0.60%,3.52,20.70M,-17.87%,-16.85%,1.60%,0.00%,1.30B
ATHX,-,-,-,-,-,-4.68,-,279.40%,-,81.20%,4.40%,-0.70,-58.10M,-81.69%,14.87%,-,-,2.40M
ANGO,0.94,-,941.00,-,0.13,-0.95,-,-9.10%,-5.60%,-89.30%,3.10%,0.01,-37.20M,-52.74%,-31.74%,-11.10%,-,334.70M
KC,0.91,-,-,-,0.17,-1.59,-,-29.90%,-21.40%,-12.90%,-,-0.53,-383.10M,5.23%,15.67%,-34.50%,-,1.11B
BREZ,10.00,-,-,-,0.00,-0.08,-,3.20%,-,-178.10%,83.22%,-,0.60M,4.88%,2.97%,-,0.00%,-
MTAC,13.52,358.97,-,-,0.00,0.03,-,1.80%,-,-160.20%,-,-,2.30M,5.66%,4.19%,-,0.00%,-
HCKT,8.23,15.52,11.55,1.03,0.91,1.25,2.28%,34.80%,34.70%,-9.30%,7.50%,1.68,38.50M,-3.12%,-5.60%,13.30%,34.70%,289.30M
AVDX,2.87,-,-,-,0.22,-0.46,-,-13.80%,-10.90%,37.30%,4.60%,-0.10,-92.10M,-3.96%,-7.24%,-27.80%,-,332.00M
ROCAU,,,,,,,,,,,,,,,,,,
PCTTU,,,,,,,,,,,,,,,,,,
AGNCO,,,,,,,,,,,,,,,,,,
WERN,1.95,13.01,13.20,9.53,0.47,3.48,1.24%,15.80%,11.40%,-32.20%,7.47%,3.43,222.70M,8.36%,9.74%,6.60%,14.60%,3.36B
MKUL,0.82,-,-,-,0.57,-0.62,-,-43.80%,-31.30%,-85.10%,32.36%,-,-13.50M,-18.81%,-43.45%,-,-,8.60M
WEYS,1.13,7.91,-,-,0.09,3.43,3.68%,15.20%,11.80%,85.70%,2.40%,-,32.90M,-0.69%,28.78%,9.20%,27.80%,356.70M
AGNC,0.87,-,4.14,-,7.87,-1.56,15.53%,-13.00%,-,75.80%,0.60%,2.24,-800.00M,-25.35%,-11.93%,-,-,432.00M
HNVR,,,,,,,,,,,,,,,,,,
PRDS,0.68,-,-,-,0.00,-1.58,-,-48.30%,-,20.70%,0.40%,-0.05,-93.00M,-67.82%,10.06%,-,-,-
NERV,-,-,-,-,-,-5.49,-,169.30%,-,28.60%,3.42%,-1.33,-29.30M,69.04%,265.72%,-,-,-
CNDT,0.74,-,17.94,-,1.42,-1.54,-,-31.20%,-4.40%,-106.10%,2.80%,0.17,-334.00M,-40.99%,-26.42%,-8.80%,-,3.81B
TACT,1.93,47.50,36.10,2.37,0.06,0.15,-,4.50%,-15.80%,171.20%,0.20%,0.20,1.60M,65.47%,12.97%,2.20%,0.00%,70.70M
DUOL,10.79,-,-,-,0.00,-1.26,-,-9.20%,-12.20%,79.80%,1.40%,-0.04,-50.00M,77.23%,108.74%,-12.40%,-,403.90M
HSTM,2.08,59.09,51.61,4.92,0.00,0.39,0.44%,3.60%,2.70%,-8.40%,17.90%,0.44,11.80M,10.80%,-7.93%,4.40%,6.50%,270.40M
UCRD,,,,,,,,,,,,,,,,,,
GMDA,-,-,-,-,-,-1.18,-,-,-,19.70%,0.70%,-0.46,-80.10M,-6.71%,60.54%,-,-,-
MEDX,,,,,,,,,,,,,,,,,,
HUBCZ,,,,,,,,,,,,,,,,,,
IZEA,0.70,-,-,-,0.00,-0.08,-,-6.80%,-8.00%,-12.60%,1.40%,0.00,-4.80M,-19.89%,39.04%,-11.70%,-,40.90M
MPRA,,,,,,,,,,,,,,,,,,
PRFZ,-,-,-,-,-,-,1.36%,-,-,-,-,-,-,-7.66%,-0.90%,-,-,-
FAMI,0.07,5.12,-,-,0.03,0.09,-,1.70%,0.70%,-92.30%,1.59%,-,2.20M,-70.05%,15.95%,2.20%,0.00%,99.20M
FMET,,,,,,,,,,,,,,,,,,
EXTR,24.61,45.26,13.19,2.26,2.27,0.43,-,59.70%,14.30%,73.10%,1.30%,1.49,58.10M,101.99%,11.09%,4.70%,0.00%,1.23B
EXPE,8.08,49.47,8.18,1.66,0.00,1.96,-,15.90%,11.10%,-21.90%,0.20%,11.86,329.00M,-28.83%,6.40%,2.70%,0.00%,12.08B
FCCO,1.04,8.88,9.77,-,0.12,1.92,3.29%,12.30%,33.20%,-1.40%,2.50%,1.74,14.60M,-12.15%,-23.71%,26.10%,27.40%,55.80M
APXI,2.85,43.08,-,-,0.01,0.25,-,3.60%,-,-98.10%,-,-,5.30M,-,3.60%,-,0.00%,-
INTE,1.36,520.50,-,-,0.00,0.02,-,0.30%,-,135.30%,-,-,0.30M,-,2.97%,-,0.00%,-
KTCC,0.44,11.33,-,-,0.99,0.47,-,4.00%,3.60%,99.80%,6.60%,-,5.10M,4.36%,25.09%,0.90%,0.00%,551.70M
GAINN,,,,,,,,,,,,,,,,,,
LPTX,3.68,-,-,-,0.00,-0.76,-,-143.10%,-,-175.50%,8.28%,-0.33,-86.10M,-22.75%,90.56%,-,-,-
BASE,5.92,-,-,-,0.00,-1.53,-,-42.20%,-46.80%,-23.60%,1.60%,-0.71,-68.50M,42.00%,51.32%,-44.20%,-,154.80M
KNTE,0.77,-,-,-,0.00,-2.75,-,-50.50%,-,-18.30%,0.40%,-2.80,-122.30M,-48.97%,-30.82%,-,-,-
NOVVU,,,,,,,,,,,,,,,,,,
PRN,-,-,-,-,-,-,0.93%,-,-,-,-,-,-,2.31%,8.27%,-,-,-
ICLN,-,-,-,-,-,-,0.95%,-,-,-,-,-,-,-9.68%,-8.36%,-,-,-
JACK,-,12.25,12.77,1.39,-,7.05,2.04%,-20.40%,18.50%,246.50%,1.40%,6.76,148.50M,28.19%,25.95%,8.60%,24.90%,1.72B
NEXT,14.26,-,-,-,0.00,-0.73,-,-196.70%,-,-63.50%,1.50%,-1.61,-101.20M,-29.46%,11.23%,-,-,-
TQQQ,-,-,-,-,-,-,0.70%,-,-,-,-,-,-,4.09%,100.29%,-,-,-
UGRO,0.42,-,-,-,0.11,-1.43,-,-28.70%,-38.90%,-517.00%,0.40%,-0.34,-15.30M,-78.39%,-51.93%,-17.50%,-,67.00M
GOGO,-,22.29,22.36,3.54,-,0.68,-,-77.90%,21.60%,-7.50%,0.10%,0.67,90.30M,-28.62%,1.45%,22.00%,0.00%,409.90M
ERESU,,,,,,,,,,,,,,,,,,
CVT,2.60,-,33.69,-,0.09,-0.21,-,-6.40%,-5.00%,-2.30%,0.10%,0.25,-101.50M,52.97%,57.22%,-15.40%,-,659.40M
BCEL,0.68,-,-,-,0.00,-2.40,-,-106.40%,-,17.90%,0.60%,-1.62,-93.30M,-38.39%,29.28%,-,-,-
OTTR,2.48,11.50,21.56,1.28,0.70,6.55,2.33%,23.00%,15.50%,-13.40%,1.99%,3.49,274.70M,13.72%,26.62%,19.30%,18.70%,1.42B
ALGT,1.37,26.39,8.58,-,1.66,3.71,-,5.30%,2.70%,824.40%,1.40%,11.39,65.20M,-35.50%,43.70%,2.70%,0.00%,2.45B
OXSQZ,,,,,,,,,,,,,,,,,,
CENT,1.40,17.58,13.79,1.76,0.88,2.09,-,8.40%,8.50%,-29.50%,13.70%,2.66,113.10M,-20.30%,-2.38%,3.50%,0.00%,3.26B
TSRI,0.89,9.20,-,-,0.00,0.71,-,10.40%,48.70%,255.00%,1.40%,-,1.60M,-11.48%,-7.35%,1.50%,0.00%,102.70M
BSJT,,,,,,,,,,,,,,,,,,
AMRS,-,-,-,-,-,-1.83,-,132.60%,-140.00%,-54.20%,0.70%,-0.48,-614.50M,-70.31%,-48.18%,-,-,268.20M
KRKR,0.84,12.53,9.52,-,0.03,0.08,-,6.30%,-1.00%,-240.10%,16.16%,0.10,3.10M,10.52%,-5.75%,6.80%,0.00%,45.60M
RACY,,,,,,,,,,,,,,,,,,
BHFAN,0.20,1.33,-,-,-,12.61,8.00%,-,-,-,-,-,-,-27.36%,-4.08%,-,-,7.74B
ICG,0.53,10.08,-,-,0.00,0.84,-,-,33.30%,-93.60%,-,-,50.20M,-,3.13%,75.00%,0.00%,66.90M
ZXZZT,,,,,,,,,,,,,,,,,,
ADIL,5.52,-,-,-,0.00,-0.50,-,-281.50%,-,12.60%,4.10%,-0.34,-12.70M,-79.17%,23.07%,-,-,-
HITI,0.58,-,-,-,0.43,-0.99,-,-,-30.70%,59.20%,9.24%,0.00,-67.80M,-50.96%,-16.57%,-,-,402.70M
PKBK,0.70,4.54,-,0.17,0.16,3.52,4.51%,16.40%,18.60%,10.50%,5.80%,-,42.80M,-36.02%,-23.87%,45.60%,19.50%,93.90M
QLYS,17.00,42.62,26.18,5.33,0.00,2.88,-,34.10%,36.30%,21.60%,1.00%,4.70,111.70M,-9.60%,11.32%,22.00%,0.00%,507.00M
BTOG,3.68,63000.00,-,-,0.00,0.00,-,27.00%,-15.20%,100.50%,18.40%,-,0.10M,-91.91%,-62.33%,-,0.00%,0.20M
PIE,-,-,-,-,-,-,3.62%,-,-,-,-,-,-,-16.71%,2.09%,-,-,-
LRFC,0.58,-,20.25,-,0.00,-4.43,4.35%,-,-,-,6.56%,1.00,-12.00M,14.54%,-8.41%,-,-,14.90M
WMG,49.53,29.67,21.63,2.66,15.82,0.82,2.64%,202.90%,13.60%,-63.80%,0.30%,1.12,421.00M,-20.39%,-32.44%,7.20%,77.10%,5.82B
GRTX,-,-,-,-,-,-2.22,-,66.60%,-,12.80%,0.40%,-1.99,-64.50M,82.10%,97.99%,-,-,-
FUSB,,,,,,,,,,,,,,,,,,
PYPT,,,,,,,,,,,,,,,,,,
FRLA,,,,,,,,,,,,,,,,,,
VRPX,0.60,-,-,-,0.00,-1.54,-,-92.30%,-,70.40%,25.71%,-,-18.00M,-45.81%,24.52%,-,-,-
VOD,0.83,2.09,-,0.10,1.36,4.63,14.84%,-,3.30%,893.80%,0.20%,-,12.69B,-43.24%,-6.72%,-,-,48.99B
CSWI,4.23,25.18,20.85,2.10,0.00,5.71,0.53%,-,-,46.70%,1.20%,6.90,89.60M,33.60%,24.31%,-,-,735.50M
EQRR,-,-,-,-,-,-,2.90%,-,-,-,-,-,-,-17.19%,-10.84%,-,-,-
TTNP,-,-,-,-,-,-0.65,-,-363.90%,-731.10%,52.90%,25.32%,-,-9.30M,86.03%,-0.70%,-,-,0.50M
ZAZZT,,,,,,,,,,,,,,,,,,
GDNRU,,,,,,,,,,,,,,,,,,
RPTX,1.76,-,-,-,0.00,-0.79,-,-11.00%,-12.50%,-0.10%,0.10%,-3.32,-29.20M,19.48%,-27.46%,-21.30%,-,137.10M
SMTC,1.88,23.34,12.49,2.03,1.77,0.95,-,8.00%,3.20%,-249.80%,0.10%,1.78,61.40M,-66.63%,-25.24%,8.10%,0.00%,756.50M
PFX,0.59,-,10.66,-,-,-0.71,-,-,-,125.70%,17.06%,3.47,-,-14.82%,9.82%,-,-,18.37M
FTAI,147.95,21.12,13.83,-,116.35,1.33,4.27%,-124.30%,-8.60%,204.80%,0.20%,2.03,132.60M,60.78%,60.34%,-54.40%,-,863.30M
COPJ,,,,,,,,,,,,,,,,,,
PETQ,1.65,-,12.33,-,2.04,-1.44,-,-18.30%,-3.20%,202.00%,0.30%,1.02,-41.60M,-24.43%,36.71%,-4.40%,-,936.30M
CTXR,1.77,-,1.51,-,0.00,-0.21,-,-30.70%,-,-39.00%,8.40%,0.73,-31.00M,18.92%,39.24%,-,-,-
EH,35.87,-,-,-,1.00,-0.81,-,-159.30%,-122.00%,-7.90%,0.90%,-0.48,-46.40M,18.09%,16.43%,-,-,6.30M
OCAX,,,,,,,,,,,,,,,,,,
CELC,1.87,-,-,-,0.29,-2.63,-,-50.20%,-,-3.50%,20.20%,-2.63,-44.40M,67.05%,-22.02%,-,-,-
COLL,4.16,-,7.43,-,4.44,-0.86,-,-15.30%,4.10%,-30.80%,1.80%,2.93,-29.40M,36.32%,-6.34%,-5.60%,-,524.90M
VMEO,1.73,-,-,-,0.00,-0.33,-,-15.30%,-24.00%,97.40%,0.10%,-0.22,-53.70M,-58.62%,7.73%,-12.50%,-,428.30M
SFIX,1.73,-,-,-,0.00,-2.68,-,-93.80%,-63.70%,-103.30%,4.60%,-1.04,-295.90M,-58.91%,13.50%,-16.10%,-,1.84B
UIVM,-,-,-,-,-,-,3.61%,-,-,-,-,-,-,-6.21%,1.33%,-,-,-
TRINL,,,,,,,,,,,,,,,,,,
JOAN,-,-,-,-,-,-4.93,28.21%,-500.20%,-14.30%,-789.20%,0.60%,-0.60,-200.60M,-81.17%,-45.09%,-9.00%,-,2.22B
EBTC,1.06,7.67,-,-,0.19,3.55,3.38%,15.00%,38.80%,4.00%,10.90%,-,43.20M,-21.04%,-23.50%,25.10%,23.70%,172.30M
INBKZ,,,,,,,,,,,,,,,,,,
NUVA,2.20,141.19,14.35,8.26,1.02,0.26,-,2.40%,4.30%,-106.30%,0.27%,2.56,20.20M,-35.94%,-11.26%,1.70%,0.00%,1.22B
LGST,,,,,,,,,,,,,,,,,,
FRLAU,,,,,,,,,,,,,,,,,,
ALTY,-,-,-,-,-,-,7.98%,-,-,-,-,-,-,-10.27%,0.37%,-,-,-
EKSO,0.83,-,-,-,0.29,-1.13,-,-55.50%,-49.40%,9.10%,13.30%,-0.75,-14.80M,-23.91%,17.65%,-,-,14.50M
APOG,2.08,8.10,9.64,0.54,0.43,4.66,2.55%,28.60%,20.00%,234.80%,1.20%,3.91,104.10M,-13.74%,-17.14%,7.20%,14.40%,1.44B
HQI,5.61,27.03,19.11,-,0.28,0.87,1.02%,23.40%,18.90%,13.60%,45.70%,1.24,12.00M,51.55%,45.60%,40.20%,26.30%,31.00M
ARDS,-,-,0.71,-,-,-1.93,-,-,126.60%,-,31.53%,0.26,-32.80M,-62.72%,-65.25%,-,-,2.90M
BELFB,2.27,9.91,9.74,-,-,4.98,0.57%,-,-,187.80%,2.77%,5.07,-,197.09%,47.10%,-,6.52%,689.86M
AMTB,0.85,9.27,7.03,-,0.21,2.00,1.94%,9.50%,27.40%,36.10%,0.10%,2.63,67.50M,-39.52%,-34.30%,16.90%,17.90%,398.80M
ILMN,4.59,-,62.10,-,0.33,-28.58,-,-58.90%,-45.50%,-96.50%,0.10%,3.13,-4487.00M,-25.19%,-4.52%,-,-,4.45B
CREX,0.74,-,4.13,-,0.69,-0.24,-,-6.30%,-9.30%,-126.50%,5.30%,0.61,-1.60M,31.82%,50.00%,-3.80%,0.00%,42.50M
PCCT,,,,,,,,,,,,,,,,,,
HCDI,0.46,-,-,-,25.63,-43.46,-,-167.80%,-7.90%,-,25.45%,-0.04,-31.10M,-89.87%,-49.15%,-86.30%,-,36.00M
FGI,0.76,6.52,4.01,-,0.37,0.28,-,12.80%,13.00%,-165.90%,73.68%,0.45,2.80M,-18.10%,-15.81%,2.00%,0.00%,145.30M
BCML,0.66,7.73,7.12,0.77,0.23,2.10,2.46%,8.70%,21.10%,8.20%,3.50%,2.28,27.50M,-29.67%,-14.15%,24.50%,11.90%,112.30M
DBVT,1.94,-,-,-,0.00,-0.62,-,-,-49.70%,-,0.20%,-0.85,-96.30M,20.84%,20.92%,-,-,4.80M
CSBR,9.52,-,49.50,-,0.00,-0.23,-,-36.30%,6.30%,-428.90%,16.80%,0.10,-3.10M,-31.60%,10.86%,-5.80%,0.00%,53.70M
RELI,0.55,-,8.78,-,1.17,-6.59,-,-26.10%,-89.70%,25.40%,3.70%,0.49,0.10M,-87.81%,-49.99%,-28.30%,-,16.50M
LIVB,,,,,,,,,,,,,,,,,,
MFH,-,-,-,-,0.00,0.00,-,-134.40%,-145.40%,0.00%,68.95%,-,-7.80M,68.74%,93.29%,-,-,1.40M
VTSI,2.35,19.97,16.31,0.57,0.22,0.40,-,12.70%,4.80%,407.40%,4.90%,0.48,4.30M,49.51%,64.53%,13.70%,0.00%,31.60M
EGHT,4.69,-,6.90,-,4.92,-0.63,-,-71.70%,-8.50%,78.80%,2.80%,0.59,-73.10M,-46.64%,-7.99%,-9.80%,-,743.90M
GMBLZ,,,,,,,,,,,,,,,,,,
MNTV,4.95,-,19.73,-,0.65,-0.51,-,-27.60%,-17.60%,35.90%,1.90%,0.48,-76.30M,-24.72%,35.07%,-15.80%,-,482.80M
SPRB,0.71,-,-,-,0.04,-1.86,-,-54.90%,-,19.90%,0.10%,-1.77,-47.20M,65.54%,114.21%,-,-,2.00M
TATT,0.72,-,-,-,0.36,-0.18,-,-2.10%,-1.80%,177.30%,53.70%,-,-1.60M,5.92%,21.51%,-1.80%,-,84.60M
MARX,0.77,395.38,-,-,0.00,0.03,-,-,-,-,17.74%,-,0.10M,-,1.28%,-,-,-
DWSH,-,-,-,-,-,-,-,-,-,-,-,-,-,3.00%,-3.10%,-,-,-
ADV,0.59,-,3.82,-,1.87,-4.53,-,-79.90%,-40.90%,-349.00%,0.20%,0.52,-1447.10M,-55.53%,-5.29%,-34.90%,-,4.15B
CRDL,0.94,-,-,-,0.00,-0.46,-,-53.00%,-,23.50%,4.42%,-0.35,-29.10M,-46.65%,32.84%,-,-,-
TRON,,,,,,,,,,,,,,,,,,
NCMI,-,-,-,-,-,-0.36,41.10%,9.00%,1.70%,-0.60%,1.50%,-0.01,-49.00M,-77.86%,31.82%,-19.70%,-,248.20M
GLSI,11.99,-,-,-,0.00,-0.61,-,-,-,-,23.20%,-,-7.80M,28.35%,-28.22%,-,-,-
CRMT,1.14,28.41,12.36,1.79,1.25,3.11,-,12.80%,11.60%,-91.90%,0.30%,7.14,20.40M,-26.44%,14.41%,4.40%,0.00%,1.41B
PCSA,1.25,-,-,-,0.00,-1.66,-,-205.50%,-,13.40%,9.70%,-1.23,-28.20M,-76.60%,-46.38%,-,-,-
WGMI,-,-,-,-,-,-,-,-,-,-,-,-,-,-21.91%,137.58%,-,-,-
INFN,6.13,-,11.27,-,3.59,-0.20,-,-28.60%,-7.70%,80.80%,0.60%,0.46,-42.60M,-17.21%,-28.26%,-2.60%,-,1.63B
SKYW,0.67,47.10,9.05,4.41,1.48,0.64,-,1.40%,2.80%,-227.80%,0.10%,3.35,33.10M,12.43%,80.80%,1.10%,0.00%,2.96B
TLGY,2.10,46.74,-,-,0.00,0.23,-,3.30%,-,-87.90%,-,-,6.10M,-,3.41%,-,0.00%,-
OSS,1.18,-,10.40,-,0.07,-0.16,-,-7.10%,-6.00%,-167.50%,3.50%,0.25,-3.20M,-38.87%,-14.70%,-4.40%,-,72.20M
JAN,-,-,-,-,-,-1.28,-,-,-,732.80%,13.86%,-,-1.60M,-44.64%,-9.49%,-,-,39.10M
IBTX,0.60,13.20,8.27,1.32,0.17,2.60,4.42%,4.50%,18.60%,-176.80%,1.60%,4.16,107.10M,-54.75%,-45.06%,15.00%,58.30%,715.30M
OLB,0.31,-,-,-,0.02,-0.63,-,-26.00%,-23.20%,-59.00%,12.30%,-,-9.40M,-39.62%,-23.71%,-33.30%,-,28.20M
BLACU,-,-,-,-,-,-,-,-,-,-,17.42%,-,-,-,2.59%,-,-,-
SKYT,8.00,-,42.64,-,1.77,-0.66,-,-59.10%,-20.20%,76.60%,16.60%,0.24,-27.30M,52.57%,42.05%,-11.80%,-,230.90M
LEGR,-,-,-,-,-,-,2.56%,-,-,-,-,-,-,-2.26%,7.27%,-,-,-
ACIU,1.04,-,-,-,0.02,-0.92,-,-38.80%,-41.30%,7.00%,53.88%,-0.33,-76.70M,-33.15%,5.51%,-,-,4.30M
INAB,4.24,-,-,-,0.08,-1.34,-,-125.00%,-,6.90%,10.90%,-1.05,-29.90M,31.02%,22.51%,-,-,-
WRND,,,,,,,,,,,,,,,,,,
ON,5.62,20.49,15.53,3.27,0.55,4.10,-,31.00%,20.80%,-12.80%,0.10%,5.41,1.83B,36.34%,33.65%,22.00%,0.00%,8.34B
CDL,-,-,-,-,-,-,3.65%,-,-,-,-,-,-,-15.02%,-8.35%,-,-,-
APLM,0.54,-,-,-,0.00,-0.05,-,-0.70%,-,92.90%,80.33%,-,-0.70M,-,-61.21%,-,-,1.34M
KPRX,0.39,-,-,-,0.00,-16.14,-,-116.40%,-,90.80%,2.30%,-1.87,-11.90M,-86.91%,-38.92%,-,-,-
MDIV,-,-,-,-,-,-,7.19%,-,-,-,-,-,-,-15.91%,-6.08%,-,-,-
CHEAU,,,,,,,,,,,,,,,,,,
PAA,1.18,8.86,9.61,4.43,1.01,1.51,7.98%,13.60%,8.90%,166.10%,0.20%,1.40,1.06B,14.33%,11.61%,1.90%,60.80%,55.99B
NXST,2.14,7.22,5.24,-,2.64,21.13,3.54%,29.80%,11.30%,-50.50%,0.30%,29.11,830.50M,-15.92%,-15.12%,15.80%,18.80%,5.26B
AEAEU,,,,,,,,,,,,,,,,,,
QQEW,-,-,-,-,-,-,0.58%,-,-,-,-,-,-,5.25%,13.72%,-,-,-
SOFO,-,-,-,-,-,-1.05,-,-575.60%,-145.40%,-90.90%,49.90%,-0.83,-12.00M,-57.50%,5.42%,-50.50%,-,23.70M
