,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
EDRY,0.35,1.91,2.11,,0.59,7.37,,19.7,17.5,-115.1,50.78,6.68,21500000.0,-35.87,-18.53,34.0,,
INDB,0.79,8.36,9.61,3.34,0.04,5.94,4.43,9.5,17.4,21.4,0.4,5.16,272000000.0,-39.28,-42.67,39.5,,
ESEA,0.78,1.46,2.13,0.29,0.63,14.71,9.32,64.9,38.7,-0.7,34.8,10.07,105100000.0,-17.58,16.15,58.6,,
QCRH,0.92,7.58,7.7,0.76,0.35,5.83,0.54,13.4,19.8,7.6,0.4,5.74,102600000.0,-17.77,-12.93,30.6,,
