,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
QCRH,0.94,7.73,7.85,0.77,0.35,5.83,0.53,13.4,19.8,7.6,0.4,5.74,102600000.0,-21.26,-9.25,30.6,,
PNFP,0.78,7.74,8.12,0.24,0.08,7.27,1.56,10.6,16.1,6.4,2.21,6.93,553700000.0,-29.63,-23.3,34.2,,
WTFC,0.96,8.27,7.7,0.83,0.27,8.72,2.22,12.2,21.7,35.1,1.1,9.37,534500000.0,-19.24,-14.6,26.0,,
