P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
,,,,,,,,,,
-,-,-,-,-,-,1.80%,-,-,-,-
0.65,8.24,-,-,0.00,1.23,1.18%,8.10%,23.80%,13.00%,4.50%
,,,,,,,,,,
1.86,-,-,-,0.00,-0.83,-,-92.60%,-97.40%,6.80%,0.60%
0.60,76.00,0.86,-,0.22,0.04,-,28.60%,-6.40%,575.30%,26.20%
0.15,-,-,-,0.00,-10.11,-,-131.10%,-148.30%,100.10%,3.50%
0.19,0.62,-,-,0.08,5.28,-,-,33.00%,120.70%,-
-,-,-,-,-,-,13.18%,-,-,-,-
0.61,-,-,-,0.30,-1.01,-,-80.70%,-73.10%,-6.70%,25.10%
-,-,-,-,-,-1.43,-,-,-,-,-
6.10,-,-,-,-,-11.24,-,-,-,-,2.54%
4.35,36.47,9.53,4.59,1.43,1.20,2.29%,12.40%,19.10%,146.10%,0.10%
1.10,229.38,-,-,0.18,0.02,-,-,-0.30%,362.30%,1.90%
9.79,-,-,-,0.34,-0.84,-,-53.70%,-35.00%,-39.00%,17.30%
6.14,-,-,-,0.45,-0.16,-,-121.50%,-95.40%,-135.40%,52.60%
,,,,,,,,,,
2.98,-,-,-,0.00,-0.64,-,-33.50%,-36.20%,1.80%,5.40%
0.85,14.37,9.54,2.05,0.12,1.51,4.23%,6.00%,27.90%,73.70%,0.30%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
-,-,1.87,-,-,-1.94,-,-,-166.80%,-317.10%,0.30%
-,-,-,-,-,-,4.76%,-,-,-,-
0.64,17.64,6.03,1.76,0.12,0.55,-,7.50%,5.50%,188.50%,2.30%
59.98,-,-,-,14.00,-14.96,-,-570.60%,-455.00%,80.70%,0.96%
,,,,,,,,,,
-,-,-,-,-,-4.64,-,323.10%,-,-8.70%,1.17%
5.56,85.69,40.74,4.28,0.00,0.71,-,6.90%,5.20%,125.20%,0.90%
-,-,-,-,-,-,5.06%,-,-,-,-
0.04,-,-,-,0.08,-6.01,-,-,-30.00%,-,4.80%
1.47,-,-,-,0.00,-1.50,-,-145.00%,-,59.70%,1.00%
2.49,-,370.00,-,0.00,-1.57,-,-19.50%,-11.30%,10.10%,2.70%
,,,,,,,,,,
4.08,53.83,59.60,-,0.02,0.61,-,8.00%,1.80%,117.30%,47.14%
25.82,-,-,-,0.00,-1.25,-,-88.30%,-,45.40%,7.66%
0.67,3.85,5.24,0.39,0.00,2.10,5.95%,18.30%,34.20%,-8.30%,22.20%
,,,,,,,,,,
3.89,-,-,-,0.58,-1.88,-,-87.30%,-40.30%,-766.00%,1.50%
5.16,-,1.42,-,1.36,-0.21,-,-65.20%,2.60%,66.00%,0.30%
-,-,-,-,-,-1.07,-,-,-421.40%,150.10%,0.20%
8.60,18.01,19.38,1.36,0.43,7.58,0.94%,53.00%,38.00%,1.20%,0.35%
0.76,-,-,-,0.00,-0.49,-,-111.60%,-,96.50%,1.90%
-,117.47,-,-,0.00,0.15,-,-,-,-,1.20%
7.78,40.44,26.97,3.37,0.15,2.19,0.54%,21.80%,16.10%,99.10%,0.40%
1.38,-,-,-,0.02,-1.10,-,-85.00%,-,-87.20%,15.98%
-,-,-,-,-,-,40.37%,-,-,-,-
5.73,-,-,-,0.02,-0.30,-,-87.90%,-,13.80%,1.80%
-,-,-,-,-,-,4.20%,-,-,-,-
0.26,-,-,-,0.01,-0.60,-,-35.40%,-37.30%,-122.80%,7.40%
1.05,8.31,9.34,0.19,1.45,3.43,-,13.70%,6.60%,-35.40%,3.88%
4.28,-,-,-,0.26,-0.37,-,-80.10%,-,-254.90%,19.80%
1.09,-,-,-,0.00,-7.08,-,-44.30%,-45.60%,18.00%,0.10%
0.60,-,-,-,0.00,-1.16,-,-47.80%,-,0.40%,8.20%
,,,,,,,,,,
2.46,27.04,24.52,6.76,1.06,1.81,2.32%,9.20%,6.20%,-17.80%,1.50%
0.46,-,-,-,0.10,-0.76,-,-11.40%,5.80%,-45.40%,33.90%
-,-,-,-,-,-0.86,-,-472.50%,-,-416.00%,0.80%
3.17,30.95,22.29,1.41,0.01,0.25,0.77%,10.70%,9.40%,66.80%,4.00%
1.03,6.94,7.84,-,0.14,8.58,2.55%,15.70%,25.40%,-12.60%,0.70%
-,-,-,-,-,-,6.03%,-,-,-,-
0.72,-,-,-,2.05,-0.69,-,-,-,-,42.66%
2.13,-,-,-,0.00,-2.31,-,-41.90%,-43.60%,0.30%,3.20%
-,242.86,-,-,-,0.01,-,-7.10%,-118.40%,245.70%,2.10%
1.85,20.51,20.68,2.15,0.55,1.23,-,9.40%,6.20%,14.90%,0.57%
3.10,-,-,-,0.00,-1.45,-,-46.40%,-45.50%,-37.70%,0.20%
,,,,,,,,,,
0.20,2.04,-,-,1.18,3.28,-,12.00%,3.30%,-48.70%,0.40%
3.03,-,-,-,0.14,-0.20,-,-104.30%,-36.30%,62.20%,76.47%
,,,,,,,,,,
0.09,2.30,-,-,0.06,0.10,-,3.80%,0.20%,-64.70%,23.86%
,,,,,,,,,,
-,-,5.17,-,-,-0.51,-,829.00%,-346.90%,25.50%,0.30%
4.31,-,-,-,1.30,-1.40,-,-50.10%,-21.00%,0.80%,0.80%
,,,,,,,,,,
2.27,-,-,-,0.00,-0.53,-,-208.70%,-,-525.10%,53.32%
-,-,-,-,-,-2.16,-,-,-43.60%,35.30%,5.30%
5.17,-,-,-,0.00,-1.12,-,-146.50%,-,-7.30%,0.30%
0.47,-,10.72,-,0.73,-1.36,1.26%,-2.20%,5.10%,-412.20%,0.20%
8.94,-,20.87,-,0.00,-0.48,-,-162.70%,-248.80%,-1.10%,1.40%
0.23,-,-,-,0.31,-12.79,-,-157.60%,-160.70%,77.10%,8.90%
,,,,,,,,,,
14.46,18.75,16.57,0.62,6.28,7.22,0.26%,89.50%,3.00%,276.60%,2.90%
6.78,-,26.77,-,0.00,-0.72,-,-,-17.80%,65.00%,12.00%
1.11,-,-,-,0.00,-2.71,-,-73.70%,-76.20%,-16.70%,1.40%
0.38,-,-,-,0.00,-4.01,-,-,-,-,-
0.69,-,6.68,-,1.86,-3.21,-,-48.60%,-18.00%,58.70%,3.00%
,,,,,,,,,,
1.82,8.46,18.15,-,0.28,1.77,-,20.40%,17.50%,-73.20%,80.79%
0.92,6.21,12.82,0.71,1.76,4.02,-,18.10%,6.50%,987.90%,0.10%
,,,,,,,,,,
1.13,-,-,-,0.00,-1.29,-,-24.50%,-,6.00%,23.35%
,,,,,,,,,,
,,,,,,,,,,
1.14,-,-,-,-,-0.29,5.32%,-,-,48.60%,-
1.04,-,15.24,-,0.59,-4.29,-,-29.30%,-19.90%,-36.10%,1.30%
7.00,35.49,-,-,0.03,0.28,-,2.70%,-,-,0.46%
2.62,14.99,13.14,-,0.48,1.27,-,19.00%,11.50%,194.10%,3.10%
-,-,-,-,-,-,1.06%,-,-,-,-
,,,,,,,,,,
2.00,-,-,-,0.00,-0.79,-,-131.10%,-,64.50%,4.00%
0.92,-,-,-,0.64,-2.91,-,37.20%,-3.30%,-12.00%,0.40%
2.84,-,-,-,0.00,-3.99,-,-247.10%,-,24.20%,5.17%
1.02,5.86,7.05,-,0.05,2.88,1.42%,18.80%,51.50%,-4.20%,2.70%
1.27,-,16.45,-,0.00,-0.36,-,-15.80%,-16.60%,-6.50%,6.70%
,,,,,,,,,,
1.99,-,29.85,-,0.04,-0.13,-,-65.70%,-105.30%,7.20%,0.56%
3.74,19.88,16.41,1.16,0.00,0.98,-,21.60%,135.30%,34.80%,1.00%
-,-,-,-,-,-0.83,-,438.00%,-240.90%,-5.90%,5.20%
13.77,46.96,39.95,3.13,0.00,1.96,1.13%,30.90%,34.60%,0.90%,0.10%
0.71,-,-,-,12.74,-7.96,-,-210.70%,-14.20%,-199.20%,3.10%
7.09,-,-,-,0.00,-2.83,-,-56.00%,-63.50%,31.80%,1.00%
0.73,-,-,-,0.11,-0.50,-,-89.10%,-34.40%,-169.80%,40.91%
1.33,50.87,-,-,0.03,0.21,-,2.00%,-,-,-
0.76,-,-,-,0.00,-5.91,-,-67.20%,-,26.30%,0.40%
1.82,8.14,9.22,0.48,0.10,9.97,1.23%,-,25.30%,-34.40%,2.00%
3.80,-,-,-,0.47,-0.58,-,-24.40%,-20.30%,39.50%,3.80%
3.97,-,-,-,0.74,-1.26,-,-84.30%,-,99.00%,5.58%
-,-,16.29,-,-,-0.76,-,80.10%,-9.50%,87.90%,1.20%
-,-,-,-,-,-6.69,-,-,-127.80%,65.30%,2.28%
-,-,-,-,-,-,0.74%,-,-,-,-
4.04,-,-,-,0.50,-0.11,-,-125.50%,-201.90%,-545.20%,33.10%
0.55,16.10,-,0.64,1.40,0.39,2.40%,20.40%,11.60%,-48.90%,38.20%
2.40,1217.50,21.17,-,0.00,0.01,8.21%,0.20%,-2.20%,-184.10%,0.80%
,,,,,,,,,,
0.14,-,-,-,1.21,-0.97,-,-14.30%,-6.30%,92.80%,7.05%
-,0.79,-,-,-,0.40,-,-409.30%,-,73.00%,24.00%
1.06,-,-,-,0.58,-0.01,-,-,-8.90%,102.40%,-
0.15,2.91,-,-,0.04,0.07,-,92.60%,5.20%,101.30%,16.51%
2.33,6.53,5.78,0.59,0.36,7.48,0.74%,40.30%,29.50%,24.60%,1.30%
1.01,8.10,5.53,5.51,0.25,1.00,-,14.10%,7.90%,109.10%,5.67%
4.29,-,18.87,-,3.15,-0.57,-,-27.20%,-3.60%,-35.60%,3.02%
0.64,-,-,-,0.18,-1.07,-,-62.10%,-40.50%,-154.10%,6.94%
0.70,5.40,5.78,0.26,0.37,1.02,-,13.80%,11.10%,-77.70%,2.00%
1.01,-,-,-,0.39,-0.86,-,-29.00%,-24.10%,-61.20%,16.30%
4.02,14.36,11.09,-,0.86,4.96,1.41%,24.00%,12.40%,-18.70%,1.40%
5.26,-,159.46,-,0.00,-1.70,-,-11.10%,-11.30%,-15.30%,5.30%
2.94,-,-,-,0.00,-3.33,-,-68.50%,-,-13.80%,1.50%
2.51,-,55.63,-,0.00,-0.13,-,-0.80%,-0.60%,-30.60%,1.50%
0.74,5.59,84.22,0.22,0.00,2.71,-,41.40%,35.00%,-29.50%,1.30%
1.45,-,-,-,2.54,-1.00,-,-169.10%,-143.70%,-15.70%,22.80%
1.50,-,-,-,0.00,-4.63,-,-,-,82.00%,0.80%
2.18,-,-,-,0.55,-1.01,-,-12.50%,-9.30%,38.40%,0.80%
1.63,28.84,8.34,2.40,0.03,1.06,-,6.20%,9.60%,-19.70%,3.90%
,,,,,,,,,,
-,-,-,-,-,-1.19,-,39.00%,-53.90%,-3.10%,7.10%
0.29,4.41,-,-,0.00,0.15,-,6.70%,5.20%,-236.80%,28.86%
0.76,-,-,-,0.26,-0.84,-,-89.30%,-152.10%,90.20%,0.10%
2.48,-,9.02,-,1.24,-0.56,-,-13.20%,-0.20%,115.20%,0.10%
5.03,-,-,-,-,-0.46,-,-,-,-,19.73%
10.90,-,-,-,3.55,-1.42,-,-,-86.00%,73.40%,12.90%
2.74,-,-,-,14.31,-5.11,10.93%,-30.80%,-1.30%,218.50%,23.10%
1.08,-,-,-,-,-1.79,-,-,-,-,14.72%
-,-,-,-,-,-,12.26%,-,-,-,-
2.86,19.72,-,-,0.00,4.72,1.27%,15.30%,13.70%,20.20%,6.47%
3.16,-,-,-,0.07,-0.03,-,-0.50%,-,83.60%,26.79%
18.67,-,-,-,50.36,-1.17,-,-474.50%,-28.00%,15.90%,2.60%
-,-,-,-,-,-,1.73%,-,-,-,-
-,-,-,-,-,-,2.01%,-,-,-,-
1.07,5.20,5.36,0.21,0.67,4.92,-,20.30%,11.70%,-19.70%,10.51%
,,,,,,,,,,
8.19,-,-,-,0.34,-9.71,-,-100.30%,-83.00%,-20.60%,1.00%
0.95,-,-,-,-,-5.08,10.51%,-,-,-,12.66%
-,-,-,-,-,-,1.96%,-,-,-,-
1.09,6.97,6.45,1.00,0.26,1.75,1.64%,17.20%,29.30%,95.70%,1.90%
0.03,-,-,-,0.21,-9.54,-,-123.20%,-212.30%,43.30%,-
11.61,-,-,-,0.02,-0.56,-,-152.70%,-,8.00%,0.97%
0.82,-,241.00,-,0.01,-0.13,-,-4.40%,0.50%,-,2.20%
3.06,16.80,8.90,-,0.69,1.21,-,21.00%,15.50%,74.00%,48.60%
25.78,322.19,-,-,0.00,0.03,-,0.60%,-,-264.40%,58.51%
3.21,17.80,10.85,1.78,1.67,2.06,-,18.20%,11.50%,-15.70%,1.30%
2.02,30.09,16.51,-,1.15,0.77,-,7.50%,6.40%,-71.50%,1.20%
0.20,2.19,-,-,0.00,0.69,-,9.40%,-,451.30%,-
1.56,-,-,-,0.00,-1.16,-,-19.10%,-17.20%,-30.00%,5.90%
-,-,-,-,-,-,2.32%,-,-,-,-
0.55,17.92,5.95,-,0.51,0.28,6.00%,1.90%,15.20%,-166.20%,7.90%
31.97,-,78.80,-,3.83,-0.70,-,-153.70%,-40.10%,38.50%,0.80%
-,-,-,-,-,-,1.11%,-,-,-,-
5.30,19.99,18.12,-,1.53,3.90,0.15%,-,11.10%,-34.00%,0.05%
2.66,6.06,6.31,0.61,0.31,4.41,-,37.00%,29.80%,-2.40%,2.50%
1.31,34.25,-,-,0.00,0.31,-,3.70%,-,335.40%,-
-,-,-,-,-,-,2.12%,-,-,-,-
4.62,-,-,-,0.00,-0.15,-,-,-17.50%,-343.00%,73.91%
,,,,,,,,,,
0.36,-,-,-,0.00,-0.86,-,-132.10%,-168.30%,47.20%,0.20%
0.33,-,-,-,0.00,-0.84,-,-71.50%,-73.70%,2.00%,1.90%
0.54,5.40,7.56,-,0.43,1.59,3.37%,11.60%,20.50%,-22.10%,2.80%
0.26,-,-,-,0.00,-0.41,-,-16.80%,-,-2.20%,-
6.33,-,37.60,-,3.26,-0.11,-,-19.70%,2.10%,154.50%,4.70%
2.83,27.66,-,-,0.03,0.39,-,2.20%,-,-183.70%,48.63%
1.36,-,-,-,0.00,-0.13,-,-11.00%,-5.60%,-,62.00%
1.36,10.64,9.38,0.53,0.00,4.13,2.00%,13.70%,9.40%,42.00%,2.40%
0.99,1.59,11.44,-,0.20,47.60,10.53%,89.00%,41.40%,251.80%,0.10%
,,,,,,,,,,
-,-,-,-,-,-,1.14%,-,-,-,-
3.51,-,1.52,-,0.00,-0.40,-,-40.10%,-,40.90%,4.10%
0.55,7.27,-,-,0.47,1.07,-,8.30%,9.50%,-60.40%,0.30%
4.54,17.25,10.63,7.67,1.20,4.42,3.93%,26.70%,13.10%,5215.80%,0.10%
,,,,,,,,,,
,,,,,,,,,,
0.53,5.95,6.14,0.60,0.12,2.46,5.46%,9.30%,18.20%,8.60%,0.10%
17.03,51.00,-,-,0.00,3.77,-,32.00%,31.30%,26.60%,42.80%
2.04,19.96,12.89,1.00,0.06,2.76,-,10.60%,11.10%,45.30%,0.70%
3.02,32.07,-,-,0.03,0.33,-,1.50%,-,-132.10%,-
4.01,-,-,-,1.96,-1.86,-,-116.00%,-46.50%,12.30%,18.30%
312.00,-,-,-,41.00,-3.76,-,-762.70%,-,37.30%,0.30%
3.54,-,-,-,0.38,-1.46,-,-228.70%,-,76.60%,2.30%
1.23,-,-,-,-,-0.74,-,-,-219.00%,-,3.48%
-,-,-,-,-,-,4.18%,-,-,-,-
-,-,-,-,-,-7.29,-,-239.70%,-,85.40%,0.04%
0.16,-,-,-,0.48,-1.13,-,-84.80%,-75.80%,-,12.92%
-,-,-,-,-,-,1.89%,-,-,-,-
,,,,,,,,,,
9.58,28.34,25.64,4.48,0.12,1.94,2.55%,34.80%,29.60%,10.40%,0.10%
0.62,-,-,-,0.58,-1.71,-,-143.20%,-85.00%,16.50%,0.90%
2.64,-,-,-,0.04,-0.13,-,-1.90%,-,-57.20%,50.68%
-,-,-,-,-,-,2.87%,-,-,-,-
,,,,,,,,,,
32.90,-,-,-,4.00,-2.56,-,-291.80%,-321.20%,41.10%,0.50%
1.34,41.22,13.99,2.75,0.06,1.78,4.90%,3.30%,4.10%,-258.60%,0.30%
0.76,6.70,6.89,0.74,0.17,3.68,3.74%,12.00%,21.60%,8.70%,1.10%
2.47,16.63,10.84,-,0.00,1.87,3.35%,16.10%,9.30%,-44.20%,0.60%
6.85,25.87,19.87,1.43,0.00,4.17,2.04%,28.20%,26.00%,18.40%,0.30%
-,-,-,-,-,-,1.81%,-,-,-,-
0.34,-,-,-,0.00,-5.70,-,-53.40%,-,16.30%,10.20%
0.99,7.81,-,-,0.23,5.44,1.51%,13.20%,31.80%,-16.00%,4.20%
2.61,-,23.41,-,0.00,-0.16,-,-0.50%,-2.50%,23.90%,28.50%
22.67,-,-,-,0.00,-0.36,-,-263.30%,-,31.90%,1.10%
0.78,6.78,6.99,0.85,0.22,1.68,5.27%,12.00%,23.70%,2.40%,0.30%
1.30,6.94,11.32,-,0.60,2.45,5.89%,19.50%,15.00%,-40.40%,0.60%
-,-,-,-,-,-,2.79%,-,-,-,-
11.89,-,-,-,2.45,-2.31,-,-57.70%,-24.00%,-89.30%,0.40%
0.74,-,-,-,0.00,-4.34,-,-48.20%,-,-270.70%,8.90%
0.84,-,-,-,0.00,-1.06,-,-34.00%,-,53.20%,16.65%
1.03,-,-,-,-,-1.14,17.79%,-,-,-,0.64%
12.12,-,669.72,-,0.31,-0.95,-,-18.30%,-12.60%,78.40%,1.50%
0.62,8.10,8.74,0.81,0.12,3.02,5.72%,7.80%,16.80%,-0.70%,0.40%
1.63,-,-,-,0.08,-1.72,-,-41.60%,-40.40%,3.10%,33.00%
2.04,-,-,-,0.57,-0.13,-,-15.00%,-1.90%,-176.80%,15.30%
,,,,,,,,,,
1.22,-,6.26,-,0.66,-3.64,6.41%,-13.50%,4.60%,-20.20%,0.30%
1.22,10.97,8.34,1.83,0.13,2.74,2.39%,11.80%,25.10%,75.80%,1.40%
0.88,-,-,-,0.64,-1.72,-,37.00%,-2.50%,-410.70%,1.40%
1.52,-,-,-,1.14,-0.33,-,-,-,28.80%,11.60%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2.18,10.09,10.58,0.85,0.06,1.91,3.74%,16.70%,33.90%,-57.70%,11.17%
1.25,7.30,6.55,0.50,0.23,3.51,-,18.80%,16.10%,13.20%,0.30%
-,-,-,-,-,-1.77,-,-,362.30%,57.00%,25.16%
-,-,-,-,-,-,0.87%,-,-,-,-
0.52,-,-,-,0.01,-0.88,-,-18.20%,-14.70%,43.30%,0.88%
,,,,,,,,,,
,,,,,,,,,,
-,-,-,-,-,-,3.50%,-,-,-,-
1.32,4.35,10.54,0.17,0.15,1.49,-,52.50%,40.30%,-134.80%,0.20%
0.76,12.64,4.18,-,1.58,1.99,-,6.30%,14.90%,-89.90%,7.10%
2.30,-,-,-,0.00,-1.82,16.80%,-47.60%,-77.00%,0.70%,4.98%
,,,,,,,,,,
3.13,19.64,-,-,0.00,9.47,0.43%,17.00%,13.60%,96.60%,1.00%
3.80,-,-,-,0.00,-1.80,-,-59.20%,-,0.00%,4.10%
,,,,,,,,,,
1.48,-,-,-,0.24,-2.25,-,-59.70%,-,11.30%,3.70%
3.22,-,12.94,-,0.00,-1.43,-,-20.80%,-7.90%,24.80%,0.30%
1.07,13.75,-,-,0.58,0.18,-,-,1.70%,175.40%,5.30%
1.61,22.84,7.35,-,0.22,0.19,-,7.50%,7.80%,-108.00%,6.40%
0.36,-,-,-,0.00,-5.19,-,-55.70%,-,19.20%,-
,,,,,,,,,,
2.33,9.71,8.86,0.32,0.01,26.93,-,25.90%,23.40%,-7.20%,0.60%
1.31,230.00,-,-,0.00,0.04,-,1.50%,-,353.90%,0.30%
-,-,-,-,-,-0.74,-,103.30%,-77.60%,45.10%,1.80%
-,-,-,-,-,-,0.90%,-,-,-,-
34.44,-,-,-,7.43,-1.73,-,-473.10%,-,50.40%,1.04%
,,,,,,,,,,
1.15,-,-,-,0.54,-1.34,-,-86.50%,-,-13.00%,2.20%
4.80,70.28,-,-,0.00,0.14,-,7.10%,-6.80%,-792.10%,0.20%
,,,,,,,,,,
0.64,6.35,10.89,0.91,0.23,1.39,5.44%,10.40%,17.00%,-40.80%,80.02%
0.94,19.29,12.49,4.15,0.41,1.96,4.23%,5.00%,4.50%,7.70%,0.40%
1.79,180.78,14.52,9.04,0.57,0.19,-,1.10%,5.90%,-112.40%,0.70%
17.60,-,-,-,0.55,-1.17,-,-222.20%,-195.40%,4.40%,0.20%
3.40,16.58,15.19,1.66,0.51,5.67,1.53%,-,20.60%,-19.20%,4.00%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.51,-,-,-,0.81,-2.02,-,-101.40%,-67.30%,62.70%,12.52%
,,,,,,,,,,
33.94,-,-,-,0.56,-18.09,-,-285.00%,-,-25.70%,17.68%
29.04,-,-,-,0.00,-0.15,-,-,-,-,0.10%
20.73,-,-,-,0.00,-1.43,-,-138.40%,-,14.40%,29.10%
0.82,-,-,-,0.04,-1.06,-,-27.00%,-,-16.10%,1.10%
1.39,48.06,-,-,0.00,0.22,-,3.00%,-,-88.00%,-
,,,,,,,,,,
3.50,-,-,-,0.00,-0.54,-,-95.20%,-54.90%,-,7.14%
0.18,-,-,-,-,-1.54,-,-,-,-,-
-,-,-,-,-,-3.40,-,77.00%,280.90%,15.50%,0.60%
-,-,-,-,-,-,0.42%,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-1.41,-,-,-91.10%,54.90%,0.10%
6.72,-,-,-,0.08,-2.74,-,-39.80%,-,26.00%,2.10%
3.26,-,-,-,0.02,-1.07,-,-139.40%,-,27.90%,41.01%
0.68,4.43,5.71,0.55,0.20,3.36,6.72%,-,25.80%,6.20%,0.60%
6.18,47.37,16.57,3.62,0.88,1.51,3.41%,13.10%,6.90%,367.40%,0.50%
,,,,,,,,,,
0.51,-,12.73,-,0.05,-6.31,-,-42.70%,-28.90%,-181.00%,3.30%
1.35,-,-,-,0.03,-0.36,-,-86.50%,-,16.50%,0.40%
0.81,7.91,-,-,0.00,1.71,3.55%,11.10%,30.40%,-8.00%,9.60%
0.09,-,-,-,-,-2.52,-,-,-,-,65.94%
1.18,5.49,4.26,1.21,0.00,1.13,-,26.60%,24.50%,14.00%,-
-,-,-,-,-,-,2.70%,-,-,-,-
12.66,35.90,30.31,2.97,0.33,9.23,0.82%,38.50%,31.30%,10.40%,0.05%
0.61,6.34,6.60,0.79,0.24,3.08,4.97%,9.90%,23.80%,-89.90%,1.00%
,,,,,,,,,,
0.18,-,-,-,0.01,-1.31,-,-20.30%,-33.80%,-190.60%,12.80%
-,-,-,-,-,-,2.09%,-,-,-,-
0.74,10.02,-,-,0.28,2.05,4.87%,8.50%,5.70%,58.90%,19.15%
1.26,4.34,-,0.43,0.00,0.89,-,30.70%,27.10%,-66.60%,68.54%
6.17,71.72,28.91,6.03,0.70,2.18,-,9.20%,7.00%,-51.80%,0.80%
2.00,29.69,9.58,4.00,1.22,1.32,2.96%,6.80%,5.40%,16.50%,0.74%
0.37,-,-,-,1.46,-14.97,-,-145.80%,-36.00%,-,26.98%
4.45,-,-,-,0.00,-3.42,-,-37.30%,-,-3.50%,0.60%
0.45,-,-,-,0.36,-8.37,-,-68.90%,-68.60%,-147.20%,0.60%
5.09,-,85.09,-,2.65,-0.23,-,-4.20%,3.10%,-780.90%,0.80%
3.44,29.11,14.62,3.64,0.00,3.16,-,11.80%,8.30%,-23.70%,0.10%
2.21,-,-,-,0.00,-1.39,-,-275.30%,-508.90%,48.90%,2.50%
0.58,-,-,-,0.00,-2.41,-,-162.30%,-160.50%,86.70%,2.36%
4.10,-,-,-,5.54,-5.02,-,-167.30%,-153.60%,-,0.03%
6.17,-,37.27,-,1.11,-0.25,-,-17.70%,-5.10%,98.00%,29.70%
,,,,,,,,,,
-,-,-,-,-,-,2.42%,-,-,-,-
,,,,,,,,,,
5.55,-,-,-,0.00,-0.33,-,-82.70%,-,61.20%,0.60%
,,,,,,,,,,
,,,,,,,,,,
0.88,6.47,5.30,0.81,0.00,3.20,6.96%,-,24.80%,-,0.10%
0.11,-,-,-,0.00,-7.18,-,-15.00%,-17.10%,98.70%,49.02%
3.20,23.74,11.87,-,0.00,1.25,-,15.60%,16.40%,-71.90%,1.80%
1.74,-,-,-,0.00,-0.08,3.04%,-2.60%,12.10%,-7.00%,9.00%
-,-,-,-,-,-,6.30%,-,-,-,-
2.10,19.84,17.76,3.10,1.48,3.23,3.24%,10.80%,6.20%,8.80%,0.10%
-,-,-,-,-,-0.75,-,198.00%,-112.10%,14.00%,0.80%
1.01,-,936.00,-,2.71,-9.83,-,-90.50%,-50.00%,87.30%,13.74%
0.65,-,-,-,0.00,-0.94,-,-47.30%,-,-84.80%,18.56%
2.27,21.92,16.01,-,0.37,3.44,-,10.90%,9.30%,-20.00%,0.30%
0.94,7.59,8.51,1.52,0.10,4.56,5.09%,12.90%,21.00%,-2.40%,0.10%
-,-,-,-,-,-,2.21%,-,-,-,-
-,-,-,-,-,-0.50,-,-,-,-,0.84%
-,-,-,-,-,-,-,-,-,-,-
1.13,-,-,-,0.37,-1.29,-,-16.40%,-11.50%,-26.10%,0.40%
1.03,9.20,11.77,1.84,0.00,2.98,4.23%,11.60%,21.90%,28.20%,15.18%
0.59,-,-,-,0.00,-0.88,-,-88.50%,-130.60%,87.90%,-
-,-,-,-,-,-0.71,-,30.70%,63.30%,134.30%,0.40%
5.85,-,16.63,-,0.38,-0.37,-,-73.90%,-101.40%,-105.80%,77.07%
-,-,-,-,-,-,8.92%,-,-,-,-
2.38,-,18.65,-,6.83,-0.92,-,-31.60%,5.80%,67.00%,0.40%
2.56,20.45,16.87,2.05,0.77,4.40,2.07%,21.10%,10.70%,-34.90%,1.44%
1.85,-,19.57,-,0.00,-0.45,-,-19.00%,-7.80%,-597.10%,0.80%
0.81,16.09,-,-,0.00,0.65,2.30%,5.30%,22.40%,-24.10%,7.30%
2.83,-,-,-,0.00,-0.20,-,-20.30%,-20.80%,12.30%,5.10%
5.50,187.33,73.69,-,0.00,0.13,-,3.40%,-2.50%,136.40%,2.80%
27.48,-,190.35,-,1.61,-5.04,-,-50.00%,-18.60%,26.50%,2.60%
0.63,-,-,-,0.00,-10.92,-,-102.20%,-,-34.90%,0.90%
,,,,,,,,,,
-,159.38,-,-,-,0.07,-,-,-,-,4.19%
2.31,59.12,19.77,12.85,0.01,1.93,-,4.00%,4.00%,-3.90%,15.70%
0.63,7.07,6.65,0.71,0.12,1.61,4.21%,8.90%,21.70%,14.70%,0.60%
,,,,,,,,,,
1.15,-,-,-,0.00,-9.77,-,-99.90%,-,-91.30%,-
2.65,46.20,20.15,-,0.01,0.20,-,6.20%,5.60%,-13.20%,13.95%
0.47,-,-,-,0.00,-91.30,-,-,-,81.50%,2.50%
1.28,28.75,-,-,0.00,0.37,-,3.10%,-,-78.70%,-
-,-,-,-,-,-,5.26%,-,-,-,-
1.17,12.60,5.61,1.80,0.03,1.42,-,9.80%,14.90%,-88.30%,11.70%
10.40,-,-,-,1.23,-2.92,-,-94.40%,-56.10%,23.30%,2.10%
-,-,1.80,-,-,-5.80,-,117.80%,-8.80%,92.50%,1.00%
1.59,-,-,-,-,-1.68,-,-,-,-,50.14%
1.11,15.96,-,2.00,0.26,0.71,-,7.30%,5.30%,18.10%,5.40%
25.79,-,36.10,-,11.86,-0.53,-,-32.50%,-2.80%,-17.80%,1.10%
,,,,,,,,,,
,,,,,,,,,,
0.96,-,16.44,-,2.36,-3.67,-,-88.40%,-27.30%,-613.10%,15.63%
0.90,4.94,5.63,-,0.14,5.85,5.67%,18.80%,42.20%,4.60%,1.00%
1.67,16.77,11.08,0.79,0.00,1.93,-,9.80%,9.20%,-19.00%,37.33%
