P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
0.96,-,-,-,0.00,-2.45,-,-,-350.30%,-61.10%,3.40%
0.16,-,-,-,0.00,-3.76,2.17%,-30.50%,-0.20%,-276.70%,0.20%
6.85,-,-,-,0.60,-1.63,-,-,-,-376.50%,76.80%
1.64,-,-,-,0.20,-0.50,-,-45.10%,-34.40%,-145.80%,43.70%
0.25,-,-,-,0.00,-0.04,-,-2.20%,-8.30%,-82.90%,19.49%
2.87,13.70,11.36,1.37,0.00,2.31,2.66%,21.40%,26.00%,-48.20%,1.10%
0.92,-,-,-,0.02,-0.90,-,-2.00%,10.60%,-110.50%,7.40%
0.84,6.53,7.18,0.93,0.00,4.09,3.75%,13.40%,26.70%,36.00%,1.00%
-,-,-,-,-,-2.50,-,-,-,31.90%,1.20%
-,-,-,-,-,-,9.65%,-,-,-,-
17.43,97.21,-,-,0.25,0.10,-,5.00%,-,-172.70%,-
1.17,-,-,-,0.00,-2.11,-,-36.70%,-34.20%,-47.90%,5.00%
-,-,-,-,-,-11.04,-,-,-,-,-
,,,,,,,,,,
2.00,11.93,-,-,0.00,1.17,4.86%,15.80%,43.80%,17.80%,7.00%
1.94,-,-,-,1.50,-2.24,-,-479.60%,-278.00%,53.80%,0.10%
0.62,10.90,-,-,0.45,0.66,7.68%,5.80%,6.50%,-26.00%,41.40%
-,-,-,-,-,-5.26,-,-,-,50.40%,2.10%
,,,,,,,,,,
3.99,-,-,-,-,-2.38,-,-,-,-,-
0.77,32.11,8.36,-,-,0.44,11.61%,-,-,-,7.69%
,,,,,,,,,,
1.40,-,-,-,0.17,-0.28,-,-45.50%,-81.10%,-100.60%,45.44%
2.68,20.47,-,-,0.00,0.15,-,14.10%,9.40%,9.60%,0.20%
4.38,-,-,-,8.98,-2.38,-,-207.10%,-27.70%,72.90%,0.90%
,,,,,,,,,,
0.52,8.32,4.31,-,0.30,1.52,4.43%,6.60%,23.70%,-45.00%,7.70%
10.48,-,-,-,1.65,-0.17,-,-,14.60%,93.80%,0.90%
,,,,,,,,,,
,,,,,,,,,,
9.77,-,-,-,0.00,-1.35,-,-138.90%,-,-49.10%,0.70%
-,-,-,-,-,-4.06,-,-,-648.50%,-,-
3.94,-,-,-,0.00,-1.38,-,-57.10%,-50.50%,-4.00%,5.50%
0.96,-,-,-,0.09,-11.53,-,-220.90%,-,-6.20%,14.23%
,,,,,,,,,,
1.45,-,-,-,0.00,-1.38,-,-130.40%,-,57.30%,1.10%
-,-,-,-,-,-,5.21%,-,-,-,-
,,,,,,,,,,
2.09,-,34.20,-,0.68,-0.12,0.93%,-1.70%,1.40%,-108.40%,2.80%
-,-,-,-,-,-4.86,-,144.00%,-997.50%,-3.40%,1.90%
4.66,-,-,-,0.00,-2.04,-,-39.10%,-,-32.60%,2.70%
,,,,,,,,,,
,,,,,,,,,,
3.09,42.73,13.19,2.85,0.01,1.45,-,7.60%,8.90%,-43.50%,0.40%
,,,,,,,,,,
2.24,7.15,-,-,0.00,2.63,-,-,-,-,39.60%
0.17,-,-,-,0.75,-8.54,-,-97.90%,-182.10%,100.10%,3.03%
2.87,14.45,10.19,1.05,2.30,1.25,-,20.80%,5.70%,-0.10%,19.35%
-,-,-,-,-,-,0.69%,-,-,-,-
2.72,37.21,8.87,2.27,2.20,1.11,2.34%,7.50%,6.00%,-22.80%,2.30%
-,-,-,-,-,-,2.10%,-,-,-,-
-,-,-,-,-,-1.92,-,-,-279.90%,-26.90%,0.70%
67.04,25.21,9.01,0.97,22.68,1.30,-,116.10%,13.00%,-32.50%,0.80%
-,-,-,-,-,-,1.52%,-,-,-,-
-,-,-,-,-,-8.14,9.59%,78.60%,-6.60%,-34.40%,3.50%
-,-,-,-,-,-,4.30%,-,-,-,-
0.51,12.83,-,-,0.22,0.60,-,4.10%,10.90%,-198.80%,2.50%
1.07,9.44,7.33,-,0.22,2.64,2.57%,11.80%,24.70%,-15.70%,8.22%
117.51,-,55.76,-,0.00,-2.28,-,-162.70%,-476.30%,412.70%,0.50%
0.75,-,-,-,0.00,-0.97,-,-60.20%,-89.80%,68.30%,5.60%
,,,,,,,,,,
8.02,46.25,27.58,2.13,0.66,8.50,-,20.40%,12.80%,-18.20%,1.34%
1.16,-,-,-,0.71,-0.59,-,-51.40%,-19.40%,2.10%,11.98%
,,,,,,,,,,
2.84,11.46,13.03,1.45,1.04,2.27,3.84%,-,56.30%,117.30%,0.20%
3.92,172.82,-,-,0.23,0.04,-,-1.30%,-6.70%,-247.30%,34.40%
-,-,-,-,-,-,4.54%,-,-,-,-
8.96,-,-,-,1.35,-1.14,-,-192.60%,-123.70%,34.20%,9.10%
1.88,-,-,-,0.00,-1.33,-,-23.60%,-,-22.00%,9.60%
2.62,12.83,13.31,0.86,0.08,7.15,-,22.50%,20.70%,-2.80%,0.50%
0.19,-,-,-,2.23,-3.26,-,-69.70%,-14.90%,62.60%,0.10%
4.54,-,8.28,-,0.00,-2.48,-,-57.80%,-59.30%,102.40%,23.46%
0.61,414.35,-,-,0.02,0.02,-,0.20%,12.60%,-327.00%,1.50%
,,,,,,,,,,
6.50,-,-,-,1.24,-0.37,-,-147.20%,-101.00%,14.00%,1.10%
,,,,,,,,,,
-,-,-,-,-,-14.38,-,183.90%,769.90%,-230.30%,0.30%
0.36,-,-,-,0.00,-0.18,-,-,-44.40%,-,29.88%
5.24,-,-,-,1.53,-1.92,-,-109.60%,-53.80%,-12.10%,1.80%
3.12,34.05,18.67,2.84,0.18,2.35,0.59%,9.70%,6.30%,85.90%,0.10%
,,,,,,,,,,
5.68,-,456.00,-,0.00,-0.04,-,-1.70%,-6.60%,-,10.60%
-,-,-,-,-,-,1.27%,-,-,-,-
0.73,-,-,-,0.00,-2.96,-,-116.00%,-154.00%,52.20%,12.82%
,,,,,,,,,,
,,,,,,,,,,
0.71,5.72,5.91,0.57,0.22,5.01,4.19%,13.10%,26.40%,23.00%,0.80%
0.80,15.33,6.76,2.95,-,0.75,12.87%,-,-,-,3.92%
2.57,3.97,-,0.40,0.00,0.44,-,69.40%,54.60%,-14.60%,1.40%
,,,,,,,,,,
21.52,75.17,41.06,4.29,0.23,3.12,-,31.10%,25.10%,4.20%,0.60%
0.89,5.80,7.80,-,0.41,3.64,1.89%,16.20%,25.00%,58.60%,3.60%
-,-,-,-,-,-0.54,-,243.20%,-36.70%,51.60%,49.07%
0.02,-,-,-,-,-11.82,-,-,-,-,35.10%
1.02,-,-,-,3.40,-1.64,-,-47.40%,-10.60%,-,0.80%
,,,,,,,,,,
1.12,12.72,13.60,1.59,0.17,0.94,-,4.70%,3.30%,-39.40%,1.20%
2.87,-,8.55,-,0.01,-0.19,-,-26.50%,-39.20%,100.70%,26.40%
4.08,-,24.30,-,0.04,-0.17,-,-7.60%,-12.90%,74.80%,6.80%
,,,,,,,,,,
0.51,-,-,-,0.34,-3.82,-,-,-46.60%,16.80%,17.94%
-,10.19,9.98,-,-,0.42,-,-294.00%,10.50%,111.50%,84.68%
-,-,-,-,-,-,7.54%,-,-,-,-
,,,,,,,,,,
4.70,-,-,-,0.72,-0.80,-,-56.90%,-32.90%,10.80%,4.10%
,,,,,,,,,,
0.42,-,-,-,0.59,-69.08,-,-103.30%,-162.60%,-,2.85%
-,-,-,-,-,-,0.39%,-,-,-,-
0.35,-,-,-,0.69,-1.02,-,-10.00%,-,-916.50%,1.20%
0.17,1.15,-,-,-,12.61,7.94%,-,-,-,-
0.82,-,-,-,0.26,-55.36,-,-,-,-,35.70%
-,-,-,-,-,-0.97,-,-,-,-,40.37%
4.59,-,4.52,-,15.95,-0.90,-,-155.80%,-11.20%,14.10%,5.10%
-,-,-,-,-,-,2.19%,-,-,-,-
3.03,-,-,-,0.00,-4.46,-,-42.00%,-46.40%,-32.50%,1.50%
-,31.69,23.74,1.94,-,3.08,2.17%,-41.10%,57.90%,34.80%,0.10%
48.22,-,-,-,0.00,-16.28,-,-270.50%,-422.60%,46.50%,-
-,9.40,9.02,1.38,-,2.02,-,-10.60%,259.80%,477.50%,0.90%
0.81,-,-,-,0.07,-0.85,-,-,-55.10%,-169.30%,15.64%
14.00,-,-,-,0.11,-0.03,-,119.00%,-174.00%,-1.00%,33.10%
2.99,-,27.67,-,0.00,-0.41,-,-25.10%,-8.90%,14.70%,0.80%
1.86,-,-,-,0.01,-5.98,-,-40.60%,-38.20%,-9.50%,6.50%
0.74,-,-,-,0.00,-0.55,-,-80.40%,-,32.20%,8.60%
1.85,-,-,-,0.00,-0.56,-,-43.20%,-46.90%,-,69.80%
3.69,29.73,-,-,0.00,16.82,1.72%,12.40%,14.20%,-58.10%,10.70%
0.90,57.48,-,-,0.00,0.29,-,1.80%,11.20%,-123.90%,0.26%
0.92,6.52,6.32,0.95,0.07,2.95,5.62%,13.40%,24.10%,-6.30%,3.00%
