,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
OPCH,3.66,31.21,24.01,3.12,0.79,0.87,-,11.90%,7.60%,28.80%,0.10%
EFAS,-,-,-,-,-,-,7.46%,-,-,-,-
IROQ,0.61,8.89,-,-,0.00,1.59,2.82%,7.20%,27.50%,-42.00%,4.80%
BOCNU,,,,,,,,,,,
LGMK,0.12,-,-,-,0.00,-14.16,-,-34.30%,-34.40%,33.80%,0.30%
BDTX,0.69,-,-,-,0.00,-2.38,-,-69.30%,-,18.60%,0.40%
CNVS,,,,,,,,,,,
HHS,2.00,1.34,3.74,-,0.00,4.21,-,-,170.50%,-127.50%,9.10%
OPT,3.30,-,-,-,1.56,-2.57,-,-,-,-81.80%,-
SNTI,0.37,-,-,-,0.00,-1.48,-,-48.80%,-54.50%,-57.10%,0.10%
SLACU,,,,,,,,,,,
AVHI,,,,,,,,,,,
DMAC,2.75,-,-,-,0.00,-0.58,-,-46.90%,-,-50.30%,1.80%
UCBIO,,,,,,,,,,,
ADER,7.09,119.55,-,-,0.21,0.09,-,3.30%,-,-206.60%,-
TAST,1.76,-,74.71,-,3.24,-1.49,-,-42.00%,-7.00%,-14.60%,0.10%
CGBD,0.81,9.84,6.94,4.92,1.26,1.40,10.71%,9.10%,5.40%,-6.00%,0.20%
IRON,2.70,-,-,-,0.00,-4.82,-,-35.00%,-,65.90%,0.60%
ADERU,,,,,,,,,,,
BRKL,0.63,7.17,6.61,1.20,0.15,1.19,6.33%,9.10%,22.00%,-72.50%,2.70%
ONEW,0.96,3.87,4.39,-,2.26,7.29,-,27.10%,15.90%,-38.80%,4.90%
DWACU,-,-,-,-,-,-0.14,-,-,-,-,3.94%
AMID,,,,,,,,,,,
IVCP,,,,,,,,,,,
NXT,8.23,46.31,20.13,1.05,0.00,0.84,-,141.70%,-,239.40%,-
GLSTU,,,,,,,,,,,
SZZL,,,,,,,,,,,
GNMA,-,-,-,-,-,-,2.61%,-,-,-,-
ADES,0.22,-,-,-,0.13,-0.64,-,-9.20%,-8.60%,-95.00%,0.90%
HWEL,,,,,,,,,,,
NRACU,-,28.37,-,-,-,0.37,-,-,-,21.90%,-
MRUS,4.46,-,-,-,0.00,-3.29,-,-55.80%,-65.20%,-97.50%,0.10%
GEVO,0.54,-,-,-,0.11,-0.43,-,-16.10%,-15.30%,4.30%,2.90%
GPACU,,,,,,,,,,,
JWAC,,,,,,,,,,,
OTEC,4.82,-,-,-,0.07,-0.41,-,-6.50%,-,-167.90%,-
KBWB,-,-,-,-,-,-,3.89%,-,-,-,-
GSRM,,,,,,,,,,,
ENSC,7.87,5.26,-,-,0.26,0.45,-,107.10%,-,-197.80%,33.90%
PEBO,0.90,7.13,7.30,0.89,0.08,3.71,5.91%,13.20%,26.90%,12.80%,1.80%
RTL,0.54,-,-,-,1.78,-1.24,13.80%,-10.30%,0.80%,-145.70%,0.53%
GLYC,1.75,-,-,-,0.00,-0.78,-,-81.20%,-,38.70%,1.50%
HYDR,-,-,-,-,-,-,-,-,-,-,-
NYMX,-,-,-,-,-,-0.08,-,-,-,-,45.03%
GAMB,3.84,87.83,12.70,-,0.02,0.12,-,5.10%,1.50%,43.40%,61.18%
ESGU,-,-,-,-,-,-,1.96%,-,-,-,-
CHEK,0.24,-,-,-,0.00,-34.23,-,-41.00%,-,96.70%,0.15%
AKTX,6.18,-,-,-,0.00,-0.36,-,-,-,-,16.12%
CROX,7.30,11.57,8.80,1.16,2.36,9.88,-,84.80%,21.40%,99.80%,2.90%
PMCB,0.77,-,-,-,0.00,-0.27,-,-6.70%,-,-7.50%,0.30%
SRTS,0.97,7.35,10.41,-,0.00,0.38,-,13.50%,23.00%,-112.10%,8.10%
HBAN,0.94,6.88,7.75,-,0.58,1.54,5.83%,14.50%,17.80%,32.20%,0.60%
TSLQ,-,-,-,-,-,-,1.08%,-,-,-,-
ARBKL,,,,,,,,,,,
SSSS,0.43,-,-,-,-,-4.81,212.38%,-,-,-77.40%,5.91%
HYFM,0.13,-,-,-,0.39,-6.20,-,-75.60%,-58.50%,28.50%,4.60%
AEMD,0.42,-,-,-,0.00,-0.69,-,-71.90%,-60.90%,24.30%,0.70%
IMRN,0.53,-,-,-,-,-0.36,-,-,-,-,-
FAZE,0.96,-,-,-,0.00,-2.45,-,-,-350.30%,-61.10%,3.40%
ILPT,0.16,-,-,-,0.00,-3.76,2.17%,-30.50%,-0.20%,-276.70%,0.20%
PXMD,6.85,-,-,-,0.60,-1.63,-,-,-,-376.50%,76.80%
HCWB,1.64,-,-,-,0.20,-0.50,-,-45.10%,-34.40%,-145.80%,43.70%
OGI,0.25,-,-,-,0.00,-0.04,-,-2.20%,-8.30%,-82.90%,19.49%
SHOO,2.87,13.70,11.36,1.37,0.00,2.31,2.66%,21.40%,26.00%,-48.20%,1.10%
FLGT,0.92,-,-,-,0.02,-0.90,-,-2.00%,10.60%,-110.50%,7.40%
WAFD,0.84,6.53,7.18,0.93,0.00,4.09,3.75%,13.40%,26.70%,36.00%,1.00%
GOSS,-,-,-,-,-,-2.50,-,-,-,31.90%,1.20%
KBWY,-,-,-,-,-,-,9.65%,-,-,-,-
LCA,17.43,97.21,-,-,0.25,0.10,-,5.00%,-,-172.70%,-
